representative,synonym,group_size
$100 billion per year,$100 billion per year,1
"$2,000 more in medical costs per year","$2,000 more in medical costs per year",1
1 in 3 will fall in a given year,1 in 3 will fall in a given year,1
10% of admissions to regular hospitals due to non-compliance,10% of admissions to regular hospitals due to non-compliance,4
10% of admissions to regular hospitals due to non-compliance,10% of hospital admissions,4
10% of admissions to regular hospitals due to non-compliance,30% of hospital admissions for people over the age of 65 caused by non-compliance,4
10% of admissions to regular hospitals due to non-compliance,non-compliance leads to 3.5 million hospital admissions annually,4
10% of hospital admissions related to medication issues,10% of hospital admissions related to medication issues,2
10% of hospital admissions related to medication issues,33% to about 69% of medication-related hospital admissions,2
10% of overall hospital admissions,10% of overall hospital admissions,2
10% of overall hospital admissions,40% of hospital admissions for elderly,2
10-15% of couples of reproductive-age,10-15% of couples of reproductive-age,1
"125,000 deaths","125,000 deaths",4
"125,000 deaths","125,000 deaths in the us annually",4
"125,000 deaths",125.000 deaths,4
"125,000 deaths","approximately 125,000 deaths in the us each year",4
"125,000 deaths per year caused by non-compliance","125,000 deaths per year caused by non-compliance",1
2 medications to about 20 medications per day,2 medications to about 20 medications per day,1
low success rate of ivf,2 out of 3 ivf cycles fail to result in pregnancy,6
low success rate of ivf,69% of ivf cycles do not result in pregnancy,6
low success rate of ivf,failure of ivf,6
low success rate of ivf,less than ideal success rate of ivf/et,6
low success rate of ivf,low success rate of ivf,6
low success rate of ivf,multiple cycles of ivf required,6
20-30% of medication prescriptions are never filled,20-30% of medication prescriptions are never filled,1
23% of nursing home admissions,23% of nursing home admissions,2
23% of nursing home admissions,admissions to nursing homes,2
30% of all hospital admissions for people over the age of 65,30% of all hospital admissions for people over the age of 65,1
30% of all hospital admissions for people over the age of 65 are directly attributable to medication non-compliance,30% of all hospital admissions for people over the age of 65 are directly attributable to medication non-compliance,1
30% of live births resulted in multiple gestations,30% of live births resulted in multiple gestations,1
"4 or more visits over a short period, such as 2 weeks, for monitoring of her hormones","4 or more visits over a short period, such as 2 weeks, for monitoring of her hormones",1
40% of people entering nursing homes do so because they are unable to self-medicate,40% of people entering nursing homes do so because they are unable to self-medicate,1
"40,000 reported cases of incidents with walkers/walking aids per year","40,000 reported cases of incidents with walkers/walking aids per year",1
47% of non-injured fallers cannot get up without assistance,47% of non-injured fallers cannot get up without assistance,4
47% of non-injured fallers cannot get up without assistance,50% of people who fall require assistance from someone else to get up,4
47% of non-injured fallers cannot get up without assistance,over one half of elders who fall are unable to get up without assistance,4
47% of non-injured fallers cannot get up without assistance,up to 75% of patients who fall do not recover their pre-fall level of function,4
50% of prescribed medications are not taken as directed,50% of prescribed medications are not taken as directed,4
50% of prescribed medications are not taken as directed,50% of the time medication is not continued and completed as prescribed,4
50% of prescribed medications are not taken as directed,about one-half of the 1.8 billion prescriptions dispensed annually are not taken correctly,4
50% of prescribed medications are not taken as directed,up to 60% of all medication prescribed is taken incorrectly,4
50% of those people who fall require assistance,50% of those people who fall require assistance,1
60% chance they will fall again within a year,60% chance they will fall again within a year,1
60% of seniors experiencing at least one challenge or difficulty with a basic activity or limitations with complex activities,60% of seniors experiencing at least one challenge or difficulty with a basic activity or limitations with complex activities,1
80 percent of people 65-plus are not willing to pay more than $50 a month for the technology,80 percent of people 65-plus are not willing to pay more than $50 a month for the technology,1
80% of assisted living residents have medications managed by their facilities,80% of assisted living residents have medications managed by their facilities,1
87% of all fractures,87% of all fractures,1
9-1-1 “call” to include or to consist of only a communication using some other medium,9-1-1 “call” to include or to consist of only a communication using some other medium,1
90% of elderly patients made some medication errors,90% of elderly patients made some medication errors,2
90% of elderly patients made some medication errors,90% of healthcare recipients make medication errors,2
90% of people who get help within one hour will continue independent living,90% of people who get help within one hour will continue independent living,1
97% of pers subscribers never activated a response service after falling,97% of pers subscribers never activated a response service after falling,1
abduction,abduction,1
ability of self care,ability of self care,1
ability to handle many situations by themselves is or will become substantially attenuated,ability to handle many situations by themselves is or will become substantially attenuated,1
ability to take care of oneself often likewise fades,ability to take care of oneself often likewise fades,1
ability to understand where one's body is in space,ability to understand where one's body is in space,1
abnormal location,abnormal location,1
abnormal or dangerous events,abnormal or dangerous events,4
abnormal or dangerous events,abnormal situations,4
abnormal or dangerous events,anomalous events,4
abnormal or dangerous events,dangerous situation,4
