representative,synonym,group_size
$100 billion per year,$100 billion per year,2
$100 billion per year,costing an estimated $100 billion a year,2
"$2,000 more in medical costs per year","$2,000 more in medical costs per year",1
60% chance they will fall again within a year,1 in 3 will fall in a given year,2
60% chance they will fall again within a year,60% chance they will fall again within a year,2
10% of admissions to regular hospitals due to non-compliance,10% of admissions to regular hospitals due to non-compliance,8
10% of admissions to regular hospitals due to non-compliance,10% of hospital admissions,8
10% of admissions to regular hospitals due to non-compliance,10% of overall hospital admissions,8
10% of admissions to regular hospitals due to non-compliance,"125,000 deaths per year caused by non-compliance",8
10% of admissions to regular hospitals due to non-compliance,30% of all hospital admissions for people over the age of 65 are directly attributable to medication non-compliance,8
10% of admissions to regular hospitals due to non-compliance,30% of hospital admissions for people over the age of 65 caused by non-compliance,8
10% of admissions to regular hospitals due to non-compliance,"non-compliance is directly responsible for the admission of 380,000 patients to nursing homes each year",8
10% of admissions to regular hospitals due to non-compliance,non-compliance leads to 3.5 million hospital admissions annually,8
10% of hospital admissions related to medication issues,10% of hospital admissions related to medication issues,2
10% of hospital admissions related to medication issues,33% to about 69% of medication-related hospital admissions,2
common health problem that affects 10-15% of couples of reproductive-age,10-15% of couples of reproductive-age,2
common health problem that affects 10-15% of couples of reproductive-age,common health problem that affects 10-15% of couples of reproductive-age,2
"125,000 deaths","125,000 deaths",4
"125,000 deaths","125,000 deaths in the us annually",4
"125,000 deaths",125.000 deaths,4
"125,000 deaths","approximately 125,000 deaths in the us each year",4
2 medications to about 20 medications per day,2 medications to about 20 medications per day,1
low success rate of ivf,2 out of 3 ivf cycles fail to result in pregnancy,5
low success rate of ivf,69% of ivf cycles do not result in pregnancy,5
low success rate of ivf,failure of ivf,5
low success rate of ivf,low success rate among ivf experiments,5
low success rate of ivf,low success rate of ivf,5
50% of prescribed medications are not taken as directed,20-30% of medication prescriptions are never filled,3
50% of prescribed medications are not taken as directed,50% of prescribed medications are not taken as directed,3
50% of prescribed medications are not taken as directed,50% of the time medication is not continued and completed as prescribed,3
admissions to nursing homes,23% of nursing home admissions,2
admissions to nursing homes,admissions to nursing homes,2
30% of all hospital admissions for people over the age of 65,30% of all hospital admissions for people over the age of 65,2
30% of all hospital admissions for people over the age of 65,40% of hospital admissions for elderly,2
high rates of multiple gestations,30% of live births resulted in multiple gestations,6
high rates of multiple gestations,high multiple gestations,6
high rates of multiple gestations,high rates of multiple gestations,6
high rates of multiple gestations,high rates of multiple pregnancies,6
high rates of multiple gestations,increase in the rates of multiple pregnancies,6
high rates of multiple gestations,more than 50% of ivf-born babies are from multiple gestations,6
"4 or more visits over a short period, such as 2 weeks, for monitoring of her hormones","4 or more visits over a short period, such as 2 weeks, for monitoring of her hormones",1
40% of people entering nursing homes do so because they are unable to self-medicate,40% of people entering nursing homes do so because they are unable to self-medicate,1
"40,000 reported cases of incidents with walkers/walking aids per year","40,000 reported cases of incidents with walkers/walking aids per year",1
50% of people who fall require assistance from someone else to get up,47% of non-injured fallers cannot get up without assistance,5
50% of people who fall require assistance from someone else to get up,50% of people who fall require assistance from someone else to get up,5
50% of people who fall require assistance from someone else to get up,50% of those people who fall require assistance,5
50% of people who fall require assistance from someone else to get up,individuals that have fallen and suffer no real injuries but need assistance in getting up,5
50% of people who fall require assistance from someone else to get up,over one half of elders who fall are unable to get up without assistance,5
60% of seniors experiencing at least one challenge or difficulty with a basic activity or limitations with complex activities,60% of seniors experiencing at least one challenge or difficulty with a basic activity or limitations with complex activities,1
80 percent of people 65-plus are not willing to pay more than $50 a month for the technology,80 percent of people 65-plus are not willing to pay more than $50 a month for the technology,1
80% of assisted living residents have medications managed by their facilities,80% of assisted living residents have medications managed by their facilities,1
87% of all fractures,87% of all fractures,2
87% of all fractures,hip fractures,2
9-1-1 “call” to include or to consist of only a communication using some other medium,9-1-1 “call” to include or to consist of only a communication using some other medium,1
90% of healthcare recipients make medication errors,90% of elderly patients made some medication errors,2
90% of healthcare recipients make medication errors,90% of healthcare recipients make medication errors,2
90% of people who get help within one hour will continue independent living,90% of people who get help within one hour will continue independent living,1
97% of pers subscribers never activated a response service after falling,97% of pers subscribers never activated a response service after falling,1
abduction,abduction,1
ability of self care,ability of self care,1
ability to handle many situations by themselves is or will become substantially attenuated,ability to handle many situations by themselves is or will become substantially attenuated,1
ability to take care of oneself often likewise fades,ability to take care of oneself often likewise fades,1
ability to understand where one's body is in space,ability to understand where one's body is in space,1
abnormal location,abnormal location,1
abnormal or dangerous events,abnormal or dangerous events,3
abnormal or dangerous events,abnormal situations,3
abnormal or dangerous events,anomalous events,3
abnormal patterns of gene expression in cumulus cells,abnormal patterns of gene expression in cumulus cells,1
abnormal time,abnormal time,1
chromosomal abnormalities,abnormalities in chromosome placement and structure,2
chromosomal abnormalities,chromosomal abnormalities,2
falls are one of the most serious health risks among seniors over the age of 65,about one third of the adults ages 65 and older experience at least one fall,2
falls are one of the most serious health risks among seniors over the age of 65,falls are one of the most serious health risks among seniors over the age of 65,2
about one-half of the 1.8 billion prescriptions dispensed annually are not taken correctly,about one-half of the 1.8 billion prescriptions dispensed annually are not taken correctly,2
about one-half of the 1.8 billion prescriptions dispensed annually are not taken correctly,up to 60% of all medication prescribed is taken incorrectly,2
absence of a combined structure,absence of a combined structure,1
absence of a suitable mechanical method for lifting and moving a person,absence of a suitable mechanical method for lifting and moving a person,1
absence of activity,absence of activity,3
absence of activity,decreased activity,3
absence of activity,inactivity,3
vulnerable individuals,abuse of vulnerable individuals,3
vulnerable individuals,vulnerable individuals,3
vulnerable individuals,vulnerable individuals at risk of danger,3
abutting surfaces can pinch body parts or items therebetween causing damage or pain,abutting surfaces can pinch body parts or items therebetween causing damage or pain,1
accident during the walking,accident during the walking,1
accidental and unintended injuries,accidental and unintended injuries,2
accidental and unintended injuries,accidental falls,2
falls are the leading cause of accidental death for seniors,accidental death for seniors,2
falls are the leading cause of accidental death for seniors,falls are the leading cause of accidental death for seniors,2
accidental falling,accidental falling,2
accidental falling,accidental falls from chairs,2
accidental pulling of the device,accidental pulling of the device,1
accidentally forget the walking instrument,accidentally forget the walking instrument,1
"injury, particularly lower back injury, to the care-giver",accidents of back injury frequently happen to carers,3
"injury, particularly lower back injury, to the care-giver","injury, particularly lower back injury, to the care-giver",3
"injury, particularly lower back injury, to the care-giver",occupational injuries to the care givers,3
accuracy of the estimated position of the beaconing device,accuracy of the estimated position of the beaconing device,2
accuracy of the estimated position of the beaconing device,accuracy to which the positions of the receivers are known,2
accuracy of the falling detection is varied along with different positions of the wearable device,accuracy of the falling detection is varied along with different positions of the wearable device,1
accurate ppg assessments require close contact between a light source/detector and the user's skin,accurate ppg assessments require close contact between a light source/detector and the user's skin,1
active participation of the wearer,active participation of the wearer,1
active process that frequently gets done multiple times in a day,active process that frequently gets done multiple times in a day,1
acute falls leads to high psychological effect of fear,acute falls have high impact on daily life quality,4
acute falls leads to high psychological effect of fear,acute falls lead to high psychological effects of fear,4
acute falls leads to high psychological effect of fear,acute falls leads to high psychological effect of fear,4
acute falls leads to high psychological effect of fear,acute falls negatively impact the quality of daily life,4
acute or chronic conditions impact a person's abilities to manage independently,acute or chronic conditions impact a person's abilities to manage independently,1
acute sensitivity,acute sensitivity,2
acute sensitivity,total sensitivity,2
acuteness of the person's condition,acuteness of the person's condition,1
adding more components to a system,adding more components to a system,1
additional attendants to perform the lifting and handling,additional attendants to perform the lifting and handling,1
additional components prone to breakage,additional components prone to breakage,2
additional components prone to breakage,relatively expensive and have additional components prone to breakage,2
increased costs,additional costs to occur,2
increased costs,increased costs,2
additional healthcare costs,additional healthcare costs,8
additional healthcare costs,additional patient cost,8
additional healthcare costs,health care costs,8
additional healthcare costs,higher costs to the healthcare system,8
additional healthcare costs,increased healthcare utilization,8
