Topic,Count,Name,Representation,Representative_Docs
-1,75,-1_matter_particulate_the_filtration,"['matter', 'particulate', 'the', 'filtration', 'denitration', 'in', 'increase', 'carbon', 'pressure', 'of']","['increase in back pressure of the filter', 'increase particulate matter emissions', 'process for producing an active carbon for use in the denitration of exhaust gas']"
0,71,0_harmful_effects_environmental_buildings,"['harmful', 'effects', 'environmental', 'buildings', 'pollution', 'problem', 'equipment', 'environment', 'on', 'agencies']","['harmful effects on humans', 'harmful effects on the environment', 'harmful effects on the environment']"
1,45,1_catalyst_catalytic_oxidation_selective,"['catalyst', 'catalytic', 'oxidation', 'selective', 'deterioration', 'scr', 'layer', 'metal', 'catalysts', 'in']","['selective catalytic reduction (scr)', 'deterioration of catalyst', 'oxidation catalyst']"
2,43,2_exhaust_gas_an_emission,"['exhaust', 'gas', 'an', 'emission', 'system', 'treatment', 'purifying', 'method', 'control', 'controlling']","['exhaust treatment system', 'exhaust emission control system', 'exhaust gas purifying method']"
3,36,3_diesel_engine_fuel_engines,"['diesel', 'engine', 'fuel', 'engines', 'consumption', 'manufacturers', 'particulate', 'burn', 'lowering', 'cell']","['diesel engines', 'diesel engine', 'diesel engine']"
4,34,4_honeycomb_ceramic_material_the,"['honeycomb', 'ceramic', 'material', 'the', 'coating', 'body', 'in', 'outer', 'porous', 'defects']","['temperature in the vicinity of the coating material of the outer segment does not easily rise', 'ceramic honeycomb articles', 'ceramic honeycomb body']"
5,33,5_nox_reduction_burn_catalysts,"['nox', 'reduction', 'burn', 'catalysts', 'lean', 'catalyst', 'adsorber', 'low', 'difficult', 'unacceptably']","['peak nox conversion efficiency with lean-burn catalysts is unacceptably low', 'catalyst system for the reduction of nox', 'nox reduction']"
6,28,6_combustion_internal_engine_engines,"['combustion', 'internal', 'engine', 'engines', 'by', 'ignition', 'sources', 'produced', 'an', 'power']","['internal combustion engine', 'internal combustion engine', 'internal-combustion engine']"
7,27,7_sulfur_hydrogen_sulfide_removal,"['sulfur', 'hydrogen', 'sulfide', 'removal', 'content', 'to', 'of', 'levels', 'dioxide', 'than']","['hydrogen sulfide removal step', 'sulfur-poisoning', 'process whereby sulfur content is advantageously reduced to less than or equal to about 10 wppm']"
8,22,8_nitrogen_oxides_removing_oxide,"['nitrogen', 'oxides', 'removing', 'oxide', 'gases', 'of', 'for', 'reduction', 'reduced', 'systems']","['nitrogen oxides', 'nitrogen oxides', 'nitrogen oxides']"
9,20,9_vehicles_automobiles_vehicle_airports,"['vehicles', 'automobiles', 'vehicle', 'airports', 'ships', 'replenishing', 'owner', 'military', 'transit', 'limited']","['vehicles', 'vehicles', 'vehicles']"
10,18,10_temperature_thermal_heating_temperatures,"['temperature', 'thermal', 'heating', 'temperatures', 'heater', 'value', 'fluid', 'regeneration', 'as', 'operating']","['minimum operating temperature value', 'effectiveness of this method decreases significantly at an exhaust temperature below 400Â° c', 'heating said fluid by means of a heating resistor']"
11,14,11_filter_clogging_self_particle,"['filter', 'clogging', 'self', 'particle', 'regenerating', 'the', 'filters', 'of', 'method', 'blocking']","['self-cleaning of self-regenerating particle filters', 'method for regenerating a particle filter', 'clogging of the filter']"
12,13,12_emissions_nox_regulations_pending,"['emissions', 'nox', 'regulations', 'pending', 'will', 'limit', 'that', 'from', 'engines', 'with']","['regulations pending that will limit nox emissions', 'regulations pending that will limit nox emissions', 'regulations pending that will limit nox emissions']"
13,12,13_ammonia_infrastructure_into_distributing,"['ammonia', 'infrastructure', 'into', 'distributing', 'possible', 'release', 'lack', 'precursor', 'environment', 'suitable']","['lack of infrastructure for distributing ammonia or a suitable precursor', 'possible release of ammonia into the environment', 'possible release of ammonia into the environment']"
