Topic,Count,Name,Representation,Representative_Docs
-1,1026,-1_the_and_to_of,"['the', 'and', 'to', 'of', 'or', 'in', 'for', 'from', 'not', 'person']","['conditions which make it difficult or impossible for them to rise from the floor or ground on their own', 'failure of the elderly person to carry or wear the monitoring device', 'difficulty related to raise an elderly person or a person with reduced mobility that has fallen on a floor']"
0,1840,0_of_to_the_and,"['of', 'to', 'the', 'and', 'or', 'for', 'emergency', 'in', 'patient', 'falls']","['injuries to the patient', 'injuries to the patient', 'no facilities for continuous monitoring of the patient']"
1,473,1_infertility_implantation_embryo_multiple,"['infertility', 'implantation', 'embryo', 'multiple', 'development', 'ivf', 'pregnancy', 'of', 'rate', 'embryos']","['variable potential for implantation and development to term', 'variable potential for implantation and development to term', 'variable potential for implantation and development to term']"
2,48,2_retirement_benefits_income_plans,"['retirement', 'benefits', 'income', 'plans', 'pension', 'employer', 'funded', 'affecting', 'benefit', 'insufficient']","['loss of employer-funded retirement benefits', 'loss of employer-funded retirement benefits', 'loss of employer-funded retirement benefits']"
3,24,3_food_eating_recognition_appetite,"['food', 'eating', 'recognition', 'appetite', 'cooking', 'quantities', 'directions', 'eat', 'preparations', 'preparation']","['confusion about appropriate quantities of food intake', 'confusion about appropriate quantities of food intake', 'confusion about appropriate quantities of food intake']"
4,20,4_visual_acuity_images_image,"['visual', 'acuity', 'images', 'image', 'limited', 'noisy', 'inherently', 'biological', 'nature', 'bandwidth']","['limited visual acuity', 'limited visual acuity', 'limited visual acuity']"
5,18,5_bulky_configuration_large_space,"['bulky', 'configuration', 'large', 'space', 'design', 'last', 'unobstructed', 'designs', 'perspective', 'compact']","['bulky configuration', 'bulky configuration', 'bulky configuration']"
6,15,6_lh_premature_levels_fsh,"['lh', 'premature', 'levels', 'fsh', 'luteinization', 'luteolysis', 'surges', 'hormone', 'low', 'luteinizing']","['low lh levels', 'low lh levels', 'premature lh surges']"
7,13,7_sensitivity_activation_points_systems,"['sensitivity', 'activation', 'points', 'systems', 'fixed', 'known', 'curve', 'low', 'learning', 'associated']","['low sensitivity for known systems', 'low sensitivity for such known systems', 'low sensitivity for such known systems']"
8,12,8_factors_environmental_genetic_weather,"['factors', 'environmental', 'genetic', 'weather', 'diet', 'culturing', 'disruption', 'influences', 'environment', 'varying']","['environmental factors', 'environmental factors', 'environmental factors']"
9,12,9_pressure_stresses_localized_shear,"['pressure', 'stresses', 'localized', 'shear', 'high', 'sores', 'on', 'patient', 'sternal', 'area']","['high localized shear and pressure stresses', 'high localized shear and pressure stresses on the patient', 'high localized shear and pressure stresses']"
10,11,10_drawbacks_challenges_and_implementations,"['drawbacks', 'challenges', 'and', 'implementations', 'unaddressed', 'indirect', 'share', 'proven', 'current', 'performance']","['challenges and drawbacks', 'challenges and drawbacks', 'challenges and drawbacks']"
11,10,11_chromosome_abnormalities_error_chromosomal,"['chromosome', 'abnormalities', 'error', 'chromosomal', 'aneuploidy', 'increased', 'rate', 'placement', 'phenotypes', 'aneuploidies']","['increased chromosome error rate', 'increased chromosome error rate', 'increased chromosome error rate']"
12,10,12_components_unreliable_breakage_prone,"['components', 'unreliable', 'breakage', 'prone', 'several', 'additional', 'large', 'key', 'adding', 'component']","['have several unreliable components', 'several unreliable components', 'unreliable components']"
13,9,13_error_repeated_failure_numerous,"['error', 'repeated', 'failure', 'numerous', 'omissions', 'driver', 'decisions', 'erroneous', 'point', 'single']","['subject to human error', 'confusion and error', 'driver error']"
14,8,14_collapsibility_limited_limitation_physical,"['collapsibility', 'limited', 'limitation', 'physical', '', '', '', '', '', '']","['limited collapsibility', 'limited collapsibility', 'limited collapsibility']"
15,8,15_expected_suits_implemented_always,"['expected', 'suits', 'implemented', 'always', 'fashion', 'well', 'needs', 'population', 'user', 'that']","['not always implemented in a fashion that well suits the needs of the expected user population', 'not always implemented in a fashion that well suits the needs of the expected user population', 'not always implemented in a fashion that well suits the needs of the expected user population']"
16,7,16_deaths_125_000_us,"['deaths', '125', '000', 'us', 'casualties', 'each', 'approximately', 'year', 'human', 'annually']","['125,000 deaths', 'approximately 125,000 deaths in the us each year', 'approximately 125,000 deaths in the us each year']"
17,6,17_losses_loss_irreversible_economic,"['losses', 'loss', 'irreversible', 'economic', 'function', 'wages', 'work', 'of', '', '']","['economic losses', 'irreversible loss of function', 'irreversible loss of function']"
18,6,18_solutions_sufficient_problems_these,"['solutions', 'sufficient', 'problems', 'these', 'current', 'are', 'not', 'debility', 'general', 'to']","['current solutions to these problems are not sufficient', 'current solutions to these problems are not sufficient', 'current solutions to these problems are not sufficient']"
19,6,19_cell_shape_topology_division,"['cell', 'shape', 'topology', 'division', 'boundaries', 'deformation', 'mass', 'changing', 'missing', 'movement']","['missing and/or false cell boundaries', 'changing topology of the cell mass due to the cell division/and or cell movement', 'changing topology of the cell mass due to the cell division/and or cell movement']"
