Topic,Count,Name,Representation,Representative_Docs
-1,493,-1_persons_weak_quickly_younger,"['persons', 'weak', 'quickly', 'younger', 'time', 'process', 'chair', 'drug', 'multiple', 'feet']","['strength weak leg', 'lift strength chair standing position', 'standing weak weight people support']"
0,136,0_implantation_ivf_embryos_embryo,"['implantation', 'ivf', 'embryos', 'embryo', 'variable', 'potential', 'vitro', 'cycle', 'relate', 'development']","['implantation potential variable term development', 'implantation potential variable term development', 'implantation potential variable term development']"
1,123,1_mobility_reduced_collapsibility_ability,"['mobility', 'reduced', 'collapsibility', 'ability', 'cognitive', 'impaired', 'challenged', 'capabilities', 'workforce', 'instructions']","['mobility reduced', 'mobility reduced', 'mobility']"
2,115,2_falls_falling_fall_risk,"['falls', 'falling', 'fall', 'risk', 'crippled', 'emergent', 'older', 'accidental', 'threatening', 'injuries']","['falls risk', 'falls risk', 'falls risk']"
3,94,3_infertility_fertility_female_treatments,"['infertility', 'fertility', 'female', 'treatments', 'reproductive', 'anovulatory', 'infertile', 'inefficient', 'humans', 'unexplained']","['infertility', 'infertility', 'infertility']"
4,75,4_aging_population_elderly_senior,"['aging', 'population', 'elderly', 'senior', 'citizens', 'growing', 'world', 'apprise', 'vital', 'caring']","['aging population', 'aging population', 'aging population']"
5,63,5_medications_regimen_prescribed_medication,"['medications', 'regimen', 'prescribed', 'medication', 'taking', 'taken', 'compliance', 'dose', 'organizing', '20']","['prescribed compliance regimen dose non', 'prescribed medications regimen compliance non', 'prescribed compliance regimen dose non']"
6,60,6_minimal_equipment_monitoring_facilities,"['minimal', 'equipment', 'monitoring', 'facilities', 'nonexistent', 'continuous', 'unobtrusive', 'systems', 'outdated', 'overload']","['monitoring equipment facilities home minimal', 'monitoring equipment home facilities minimal', 'monitoring equipment home facilities minimal']"
7,55,7_sitting_standing_posture_position,"['sitting', 'standing', 'posture', 'position', 'positioning', 'seated', 'recognize', 'sit', 'stand', 'seating']","['sitting stand position', 'sitting standing difficulty', 'sitting standing difficulty']"
8,53,8_gestations_multiple_pregnancies_births,"['gestations', 'multiple', 'pregnancies', 'births', '30', 'maternal', 'conception', 'perinatal', 'neonatal', 'live']","['gestations births multiple 30 live', 'gestations births multiple 30 live', 'gestations births multiple 30 live']"
9,53,9_emergency_emergencies_hurdles_experiencing,"['emergency', 'emergencies', 'hurdles', 'experiencing', 'faced', 'climate', 'calling', 'technical', 'dangers', 'situation']","['calling emergency technical hurdles', 'calling emergency technical hurdles', 'calling emergency technical hurdles']"
10,48,10_injuries_injury_bodily_worker,"['injuries', 'injury', 'bodily', 'worker', 'work', 'employees', 'occupational', 'brain', 'givers', 'risks']","['injuries', 'injuries', 'injuries']"
