Topic,Count,Name,Representation,Representative_Docs
-1,840,-1_persons_physical_device_motion,"['persons', 'physical', 'device', 'motion', 'disabilities', 'accidents', 'heavy', 'damage', 'medications', 'painful']","['prematurity damage potential long term', 'elderly assistance care persons require', 'prematurity damage potential long term']"
0,284,0_falls_injuries_fall_falling,"['falls', 'injuries', 'fall', 'falling', 'elderly', 'injury', 'aging', 'population', 'risk', 'seniors']","['falls risk', 'aging fall risk population higher', 'elderly falls']"
1,84,1_embryo_implantation_embryos_methods,"['embryo', 'implantation', 'embryos', 'methods', 'relate', 'lacking', 'evaluation', 'human', 'selection', 'implant']","['embryo evaluation methods human lacking', 'embryo evaluation methods human lacking', 'embryo evaluation methods human lacking']"
2,81,2_infertility_reproductive_couples_female,"['infertility', 'reproductive', 'couples', 'female', '15', 'treatments', 'primary', 'secondary', 'fertility', '10']","['infertility', 'infertility', 'infertility']"
3,80,3_adherence_medication_compliance_medications,"['adherence', 'medication', 'compliance', 'medications', 'taking', 'non', 'prescribed', 'regimen', 'regimens', 'taken']","['compliance medication', 'prescribed medications regimen compliance non', 'adherence medication non']"
4,70,4_emergency_calls_voip_misrouted,"['emergency', 'calls', 'voip', 'misrouted', 'making', 'hurdles', 'relating', 'accident', 'experiencing', 'reliability']","['reliability calls emergency making', 'reliability calls emergency making', 'reliability calls emergency making']"
5,70,5_mobility_collapsibility_impaired_limited,"['mobility', 'collapsibility', 'impaired', 'limited', 'reduced', 'addressable', 'anguish', 'discomfort', 'confidence', 'limit']","['mobility limited', 'mobility limited', 'mobility']"
6,59,6_diseases_condition_chronic_medical,"['diseases', 'condition', 'chronic', 'medical', 'conditions', 'ailment', 'parkinson', 'diabetes', 'dangerous', 'complications']","['parkinson diseases chronic disease', 'parkinson diseases chronic disease', 'parkinson diseases chronic disease']"
7,54,7_minimal_equipment_monitoring_facilities,"['minimal', 'equipment', 'monitoring', 'facilities', 'nonexistent', 'continuous', 'unobtrusive', 'automation', 'home', 'overload']","['monitoring equipment home facilities minimal', 'monitoring equipment home facilities minimal', 'monitoring equipment facilities home minimal']"
8,51,8_caregivers_caregiver_lifting_rolling,"['caregivers', 'caregiver', 'lifting', 'rolling', 'handling', 'lift', 'visibility', 'small', 'exceeds', 'lifts']","['caregiver injury risk', 'caregivers handling lifting patient inaccurate', 'caregivers handling lifting improper inaccurate']"
9,41,9_gestations_multiple_births_pregnancies,"['gestations', 'multiple', 'births', 'pregnancies', '30', 'mother', 'fetuses', 'live', 'outcomes', 'order']","['gestations multiple', 'gestations multiple', 'gestations multiple']"
10,39,10_sitting_position_standing_posture,"['sitting', 'position', 'standing', 'posture', 'positioning', 'recognize', 'seated', 'transition', 'swings', 'alignment']","['posture positioning recognize human body', 'sitting standing difficulty', 'sitting standing difficulty']"
11,39,11_healthcare_unnecessary_costs_burden,"['healthcare', 'unnecessary', 'costs', 'burden', 'expenditure', 'annual', 'cost', 'hospitals', 'economic', 'billion']","['cost healthcare home', 'cost healthcare home', 'cost healthcare home']"
12,36,12_retirement_income_benefits_pension,"['retirement', 'income', 'benefits', 'pension', 'benefit', 'employers', 'insufficient', 'guaranteed', 'decrease', 'funded']","['pension retirement employers benefit decrease', 'pension retirement employers decrease benefit', 'pension retirement employers decrease benefit']"
13,35,13_costs_expensive_consuming_products,"['costs', 'expensive', 'consuming', 'products', 'financial', 'generally', 'solution', 'substantial', 'emotional', 'market']","['expensive consuming generally time', 'expensive consuming generally time', 'expensive consuming generally time']"
14,31,14_ovarian_syndrome_hyperstimulation_ohss,"['ovarian', 'syndrome', 'hyperstimulation', 'ohss', 'ovulate', 'stimulation', 'pcos', 'follicular', 'atresia', 'means']","['ovarian hyperstimulation syndrome ohss', 'ovarian hyperstimulation syndrome ohss', 'ovarian hyperstimulation syndrome ohss']"
15,30,15_ivf_cycle_29_cycles,"['ivf', 'cycle', '29', 'cycles', 'birth', 'fertilization', 'vitro', 'performed', 'rate', 'freezing']","['ivf rate cycle birth 29', 'ivf rate cycle birth 29', 'ivf rate cycle birth 29']"
16,26,16_providing_efficient_proper_assistance,"['providing', 'efficient', 'proper', 'assistance', 'supportive', 'types', 'care', 'various', 'rescuing', 'interventions']","['providing care proper efficient individuals', 'providing care proper efficient individuals', 'providing care proper efficient individuals']"
17,24,17_walking_aid_walk_difficulty,"['walking', 'aid', 'walk', 'difficulty', 'walkers', 'tiring', 'sticks', 'tend', 'phase', 'cases']","['walking assistance difficulty', 'walking difficulty', 'walking difficulty']"
18,22,18_alarms_detects_miss_false,"['alarms', 'detects', 'miss', 'false', 'alarm', 'existing', 'handbag', 'electroshock', 'activating', 'tornado']","['alarms detects miss false high', 'alarms detects miss false high', 'alarms detects miss false high']"
19,22,19_fetuses_mother_adverse_outcomes,"['fetuses', 'mother', 'adverse', 'outcomes', 'maternal', 'perinatal', 'neonatal', 'influences', 'risks', 'obstetrical']","['fetuses mother outcomes adverse', 'fetuses mother outcomes adverse', 'fetuses mother outcomes adverse']"
20,21,20_wearable_worn_devices_disadvantages,"['wearable', 'worn', 'devices', 'disadvantages', 'protection', 'inconvenience', 'device', 'subject', 'caused', 'acceptance']","['wearable device worn user', 'wearable devices protection inconvenience caused', 'wearable devices protection inconvenience caused']"
21,20,21_capabilities_instructions_concepts_understand,"['capabilities', 'instructions', 'concepts', 'understand', 'diminished', 'cognitive', 'ability', 'overwhelming', 'learn', 'reduced']","['concepts diminished ability understand instructions', 'concepts diminished ability understand instructions', 'concepts diminished ability understand instructions']"
22,20,22_increases_late_admission_hypothermia,"['increases', 'late', 'admission', 'hypothermia', 'dehydration', 'pneumonia', 'risk', '', '', '']","['dehydration admission risk late increases', 'hypothermia admission risk late increases', 'dehydration admission risk late increases']"
23,19,23_supervision_continuous_feasible_general,"['supervision', 'continuous', 'feasible', 'general', 'economically', 'daily', 'care', 'activities', 'status', 'medical']","['supervision continuous feasible', 'supervision continuous feasible', 'supervision continuous feasible']"
24,19,24_muscles_strength_flexibility_supported,"['muscles', 'strength', 'flexibility', 'supported', 'arms', 'weight', 'stamina', 'big', 'weaker', 'discourage']","['strength discourage muscles individual using', 'arms strength weight supported', 'strength arms weight supported need']"
25,19,25_achieving_pregnancy_probability_optimistic,"['achieving', 'pregnancy', 'probability', 'optimistic', 'overestimating', 'chances', '18', 'biochemical', 'attempts', 'couple']","['pregnancy overestimating couple probability achieving', 'pregnancy overestimating couple probability achieving', 'pregnancy overestimating couple probability achieving']"
26,18,26_wheelchairs_wheelchair_standard_motorized,"['wheelchairs', 'wheelchair', 'standard', 'motorized', 'special', 'foldable', 'available', 'vehicles', 'tiltable', 'versatility']","['wheelchairs standard fixed', 'wheelchairs motorized expensive relatively', 'wheelchairs motorized expensive relatively']"
27,17,27_walker_walkers_rolling_heavily,"['walker', 'walkers', 'rolling', 'heavily', 'elements', 'leaning', 'rigid', 'rely', 'hinged', 'encounters']","['walker leaning rely heavily need', 'walker rolling feet support elements', 'walker rolling feet support elements']"
28,17,28_sporadic_nurses_nature_nursing,"['sporadic', 'nurses', 'nature', 'nursing', 'homes', 'visits', 'medicate', 'entering', 'self', 'home']","['visits sporadic nurses home nature', 'visits sporadic nurses home nature', 'visits sporadic nurses home nature']"
29,16,29_traffic_collisions_congestion_regulations,"['traffic', 'collisions', 'congestion', 'regulations', 'laws', 'regulation', 'awareness', 'accidents', 'urban', 'slower']","['accidents traffic', 'accidents traffic', 'accidents traffic']"
30,15,30_violence_domestic_cyber_tormenting,"['violence', 'domestic', 'cyber', 'tormenting', 'harassing', 'bullying', 'victims', 'stalking', 'restraining', 'protect']","['violence abuse domestic', 'violence domestic', 'violence domestic']"
