Topic,Count,Name,Representation,Representative_Docs
-1,1054,-1_the_to_and_or,"['the', 'to', 'and', 'or', 'person', 'of', 'in', 'from', 'for', 'with']","['elders neglect re-wearing when getting out of bed or bath', 'if a crippled or elderly person falls, often that person cannot get up under their own power', 'health or safety of the person']"
0,1276,0_emergency_mobility_of_care,"['emergency', 'mobility', 'of', 'care', 'for', 'falls', 'to', 'the', 'and', 'monitoring']","['time consuming and generally very expensive home visits of nurses', 'risk of injury from falls', 'minimal or nonexistent monitoring equipment at home care facilities']"
1,475,1_infertility_embryo_implantation_development,"['infertility', 'embryo', 'implantation', 'development', 'multiple', 'ivf', 'pregnancy', 'embryos', 'gestations', 'rate']","['variable potential for implantation and development to term', 'variable potential for implantation and development to term', 'variable potential for implantation and development to term']"
2,117,2_medication_medications_prescribed_adherence,"['medication', 'medications', 'prescribed', 'adherence', 'take', 'compliance', 'regimen', 'taking', 'with', 'taken']","['medication compliance', 'failure to take a medication when prescribed', 'non-compliance with a prescribed regimen of one or more medications']"
3,38,3_lifting_lift_lifts_moving,"['lifting', 'lift', 'lifts', 'moving', 'mechanical', 'lifted', 'patient', 'manual', 'frequently', 'rolling']","['manual moving, lifting, and/or rolling of the patient', 'manual moving, lifting, and/or rolling of the patient', 'manual moving, lifting, and/or rolling of the patient']"
4,37,4_retirement_benefits_employer_funded,"['retirement', 'benefits', 'employer', 'funded', 'plans', 'pension', 'income', 'benefit', 'decrease', 'defined']","['decrease in the number of employers that offer defined retirement benefit pension plans', 'decrease in the number of employers that offer defined retirement benefit pension plans', 'decrease in the number of employers that offer defined retirement benefit pension plans']"
5,36,5_violence_bullying_domestic_crime,"['violence', 'bullying', 'domestic', 'crime', 'rape', 'abuser', 'victim', 'murder', 'larceny', 'tormenting']","['domestic violence', 'domestic violence', 'violence and domestic abuse']"
6,36,6_false_alarms_alarm_alert,"['false', 'alarms', 'alarm', 'alert', 'detects', 'miss', 'rate', 'high', 'positives', 'climate']","['high rate of false alarms and miss-detects', 'high rate of false alarms and miss-detects', 'high rate of false alarms and miss-detects']"
7,27,7_activity_activities_absence_realize,"['activity', 'activities', 'absence', 'realize', 'unavailable', 'currently', 'daily', 'respective', 'participation', 'active']","['absence of activity', 'absence of activity', 'absence of activity']"
8,23,8_food_eating_recognition_appetite,"['food', 'eating', 'recognition', 'appetite', 'cooking', 'directions', 'eat', 'preparations', 'preparation', 'forgetting']","['difficulty with following cooking/preparation/eating directions', 'difficulty with following cooking/preparation/eating directions', 'difficulty with following cooking/preparation/eating directions']"
9,23,9_visual_acuity_image_images,"['visual', 'acuity', 'image', 'images', 'noisy', 'inherently', 'biological', 'limited', 'bandwidth', 'projected']","['limited visual acuity', 'limited visual acuity', 'limited visual acuity']"
