Topic,Count,Name,Representation,Representative_Docs
-1,623,-1_person_as_the_devices,"['person', 'as', 'the', 'devices', 'or', 'not', 'to', 'in', 'for', 'their']","['individuals that have medical conditions that may require fast emergency response', 'elderly person or a person with reduced mobility and do not have sufficient muscles to rise to their feet by their own', 'difficulty related to raise an elderly person or a person with reduced mobility that has fallen on a floor']"
0,462,0_embryos_pregnancy_embryo_infertility,"['embryos', 'pregnancy', 'embryo', 'infertility', 'multiple', 'ovarian', 'rates', 'pregnancies', 'birth', 'ivf']","['poor implantation rate of ivf embryos', 'high rates of multiple pregnancies', 'low pregnancy and birth rates following in vitro fertilization (ivf) attempts']"
1,171,1_injury_injuries_health_consequences,"['injury', 'injuries', 'health', 'consequences', 'risk', 'severe', 'physical', 'death', 'hazard', 'medical']","['physical injury', 'risk of injury to the patient', 'risk of injury']"
2,98,2_sitting_position_strength_standing,"['sitting', 'position', 'strength', 'standing', 'muscles', 'down', 'muscle', 'from', 'posture', 'seated']","['difficulty standing up and sitting down', 'difficult in rising from the sitting position to the standing position', 'difficulty in standing up and sitting down']"
3,121,3_elderly_older_aging_elders,"['elderly', 'older', 'aging', 'elders', 'adults', 'senior', 'falls', 'individuals', 'agerelated', 'are']","['elderly', 'falls of elderly individuals', 'the elderly']"
4,93,4_medication_medications_adherence_compliance,"['medication', 'medications', 'adherence', 'compliance', 'prescribed', 'regimen', 'taken', 'take', 'noncompliance', 'taking']","['medication adherence', 'medication compliance', 'non-compliance with a prescribed regimen of one or more medications']"
5,82,5_mobility_reduced_transfer_move,"['mobility', 'reduced', 'transfer', 'move', 'becomes', 'transfers', 'mobilityimpaired', 'store', 'limit', 'further']","['reduced mobility', 'lack of mobility', 'mobility']"
6,61,6_care_costs_healthcare_supervision,"['care', 'costs', 'healthcare', 'supervision', 'cost', 'needs', 'burden', 'unnecessary', 'continuous', 'health']","['cost of health care', 'health care costs', 'population needs continuous medical supervision and care']"
7,56,7_falls_falling_fall_injuries,"['falls', 'falling', 'fall', 'injuries', 'risk', 'accidental', 'acute', 'resulting', 'drastic', 'effect']","['risk of falling', 'falls', 'risk of falls']"
8,55,8_sensitivity_drawbacks_systems_solutions,"['sensitivity', 'drawbacks', 'systems', 'solutions', 'support', 'known', 'unstable', 'functional', 'capacity', 'stability']","['drawbacks to existing systems', 'low sensitivity for known systems', 'low sensitivity for such known systems']"
9,40,9_adjustable_heavy_structure_large,"['adjustable', 'heavy', 'structure', 'large', 'heights', 'size', 'different', 'storage', 'bulky', 'apparatus']","['device is not height adjustable for accommodating different sized users', 'not vertically adjustable to accommodate users of differing heights', 'not fully adjustable to accommodate user support of different size or structure']"
10,44,10_emergency_response_calls_services,"['emergency', 'response', 'calls', 'services', 'personal', 'blocking', 'pers', 'voipbased', 'overlooked', 'jurisdiction']","['number of people in need of emergency response services', 'cost of emergency response services', 'need of emergency response services']"
11,33,11_user_users_input_activate,"['user', 'users', 'input', 'activate', 'use', 'uncomfortable', 'actions', 'annoy', 'analyze', 'lessfunctional']","['not always implemented in a fashion that well suits the needs of the expected user population', 'users to manually activate an input to summon assistance', 'if the user is unable to activate the input, no assistance is summoned']"
12,32,12_lifts_lift_lifting_lowering,"['lifts', 'lift', 'lifting', 'lowering', 'patient', 'patients', 'moving', 'found', 'manual', 'heavy']","['myriad of patient lifts on the market tend to passivate patients', 'not found a lift device specifically designed to lift and lower ambulatory patients', 'not found a portable lift and lowering device affordable to most people']"
13,29,13_wheelchair_wheelchairs_configuration_standard,"['wheelchair', 'wheelchairs', 'configuration', 'standard', 'motorized', 'foldable', 'transferring', 'standing', 'storage', 'available']","['need for a wheelchair lift assist mechanism easily fit to an existing wheelchair or armchair', 'difficult for transferring a person to and from the wheelchair', 'no configuration is available for a standard designed wheelchair']"
14,36,14_alert_button_alarm_shock,"['alert', 'button', 'alarm', 'shock', 'panic', 'warning', 'false', 'press', 'alarms', 'push']","['high false alert rate', 'an elderly patient with a severe fatality may not be able to press the panic alert button after a fall', 'conventional monitoring systems require a user to push a panic alert button']"
15,26,15_walking_impediment_walk_difficulty,"['walking', 'impediment', 'walk', 'difficulty', 'without', 'assistance', 'walkers', 'aid', 'due', 'rehabilitation']","['difficulty walking without a walking aid', 'difficulty in walking', 'difficulty walking']"
16,30,16_costs_100_billion_year,"['costs', '100', 'billion', 'year', 'expensive', 'economic', 'search', 'manufacturing', 'costing', 'manufacture']","['costing an estimated $100 billion a year', '$100 billion per year', 'non-compliance costs more than $100 billion a year']"
17,33,17_activity_life_daily_activities,"['activity', 'life', 'daily', 'activities', 'quality', 'impact', 'negatively', 'decreased', 'living', 'normal']","['impact quality of life', 'acute falls negatively impact the quality of daily life', 'negatively impact the quality of daily life']"
18,28,18_caregiver_caregivers_carer_hired,"['caregiver', 'caregivers', 'carer', 'hired', 'shutins', 'concern', 'cares', 'intrusive', 'worry', 'watching']","['great concern and worry on the part of the caregiver(s)', 'caregiver may not have the strength to lift the individual', 'risk of injury to the caregiver']"
19,36,19_cognitive_memory_function_ability,"['cognitive', 'memory', 'function', 'ability', 'load', 'diminished', 'validity', 'overwhelming', 'learn', 'integrated']","['reduction in memory and cognitive function', 'cognitive function', 'loss of physical and cognitive function']"
20,19,20_device_clamping_result_part,"['device', 'clamping', 'result', 'part', 'devices', 'unstable', 'malware', 'deficiency', 'viruses', 'software']","['position of the clamping device is not secured', 'complexity has the result that a problem in a part of the device can result in a total crash of the system', 'weak part of the clamping device']"
21,26,21_information_access_farmers_relevant,"['information', 'access', 'farmers', 'relevant', 'middlemen', 'advantage', 'uptodate', 'lack', 'taking', 'news']","['middlemen taking advantage of farmers lack of access to information', 'middlemen taking advantage of the farmers lack of access to information', ""farmers' lack of access to information""]"
22,22,22_wearable_irritations_devices_worn,"['wearable', 'irritations', 'devices', 'worn', 'might', 'lead', 'usage', 'skin', 'term', 'sophisticated']","['wearable device is not being worn by the user', 'long term usage of wearable might lead to user skin irritations', 'long term usage of wearable devices might lead to user skin irritations']"
23,15,23_assistance_assist_heshe_summoning,"['assistance', 'assist', 'heshe', 'summoning', 'outside', 'partially', 'unavailable', 'inhome', 'helping', 'lot']","['human assistance can be sometimes unavailable', 'need for assistance', 'individual must recognize that he/she is in a situation in which help is likely to be needed']"
24,18,24_admissions_hospital_10_30,"['admissions', 'hospital', '10', '30', '65', 'noncompliance', '90', 'over', 'age', 'errors']","['10% of hospital admissions related to medication issues', '30% of all hospital admissions for people over the age of 65', '10% of hospital admissions']"
25,20,25_discomfort_psychologically_distress_traumatic,"['discomfort', 'psychologically', 'distress', 'traumatic', 'uncomfortable', 'implications', 'feelings', 'embraces', 'ethical', 'failures']","['discomfort to the patient', 'psychologically traumatic for a patient', 'ethical and psychologically traumatic implications']"
26,33,26_monitoring_consistency_continuity_nonexistent,"['monitoring', 'consistency', 'continuity', 'nonexistent', 'sensors', 'minimal', 'facilities', 'data', 'continuous', 'ecg']","['continuity and consistency of the monitoring', 'questions regarding continuity and consistency of the monitoring', 'monitoring equipment at home care facilities is usually minimal or nonexistent']"
27,14,27_time_process_discovered_object,"['time', 'process', 'discovered', 'object', 'consuming', 'toil', 'gets', 'experienced', 'elapse', 'distant']","['significant amounts of time may elapse before they are discovered', ""the need to change one's focus from a distant object to a nearby object takes time"", 'time consuming process']"
28,15,28_phone_psap_mobile_registered,"['phone', 'psap', 'mobile', 'registered', 'calls', 'locations', 'smartphone', 'appropriate', 'call', 'architecture']","['limitations of registered locations for mobile devices', 'calls placed from portable text devices cannot be automatically routed to the geographically appropriate psap', 'mobile phone lying in a ladies handbag is so useless for triggering an alarm']"
29,19,29_detection_real_detecting_addressed,"['detection', 'real', 'detecting', 'addressed', 'fall', 'monitored', 'falls', 'widely', 'occurrence', 'along']","['falls are monitored and addressed in real time', 'conventional accelerometric detection of falls has been widely used for ambulatory tracking and fall detection', 'fall detection']"
30,37,30_implantation_variable_successful_potential,"['implantation', 'variable', 'successful', 'potential', 'term', 'lower', 'failure', 'development', 'poorly', 'illdefined']","['low implantation rates', 'variable potential for implantation and development to term', 'implantation failure']"
31,18,31_abuser_victim_abuse_bullying,"['abuser', 'victim', 'abuse', 'bullying', 'online', 'encountering', 'police', 'schoolyard', 'him', 'local']","['police or local authorities do not have the ability to constantly track the location of the abuser', 'victim may still be fearful that the abuser is following him or her', ""victim may not have knowledge of the abuser's location""]"
32,21,32_nursing_sporadic_nature_visits,"['nursing', 'sporadic', 'nature', 'visits', 'nurses', 'homes', 'home', 'forced', 'followup', 'selfmedicate']","['sporadic nature of home visits', 'sporadic nature of home visits by nurses', 'home visits of nurses which are of sporadic nature']"
33,17,33_success_ivf_low_rate,"['success', 'ivf', 'low', 'rate', 'average', 'ideal', 'diverse', 'unpredictable', 'experiments', 'model']","['success rates are low', 'low success rates', 'low success rate of ivf']"
34,15,34_fractures_bone_wrists_shoulders,"['fractures', 'bone', 'wrists', 'shoulders', 'elbows', 'hip', 'fracture', 'strain', 'shoulder', 'hips']","['hip fractures', 'strain on shoulders, elbows, wrists and hands', 'bone fractures']"
35,20,35_diseases_disease_chronic_advance,"['diseases', 'disease', 'chronic', 'advance', 'province', 'parkinsons', 'comatose', 'illness', 'trisomic', 'progression']","['advance of chronic diseases', ""chronic diseases such as parkinson's disease"", 'diseases']"
36,17,36_connectivity_network_networks_overloaded,"['connectivity', 'network', 'networks', 'overloaded', 'communications', 'were', 'into', 'destroyed', 'shortterm', 'uselessness']","['traditional telecommunications were stretched and overloaded', 'current network is not designed to have the device push a location directly into the network', 'lack of wi-fi or other network connectivity']"
37,49,37_retirement_benefits_pension_plans,"['retirement', 'benefits', 'pension', 'plans', 'defined', 'benefit', 'decrease', 'security', 'income', 'employerfunded']","['decrease in defined benefit pension plans', 'decrease in the number of employers offering defined retirement benefit pension plans', 'decrease in the number of employers that offer defined retirement benefit pension plans']"
38,17,38_disability_permanent_disabled_disabilities,"['disability', 'permanent', 'disabled', 'disabilities', 'functional', 'permanently', 'ranging', 'nearterm', 'lifetime', 'totally']","['functional limitations and disability', 'permanent disability', 'disability']"
39,13,39_errors_unreliable_components_several,"['errors', 'unreliable', 'components', 'several', 'omissions', 'imprinting', 'numerous', 'key', 'preparation', 'danger']","['unreliable components', 'have several unreliable components', 'several unreliable components']"
40,13,40_motion_range_record_maneuverability,"['motion', 'range', 'record', 'maneuverability', 'passage', 'extended', 'sequence', 'erroneously', 'much', 'nonmovement']","['too much range of motion', 'decreased range of motion', ""difficult to accurately access and record a person's condition and range of motion""]"
41,19,41_cell_chromosome_abnormalities_chromosomal,"['cell', 'chromosome', 'abnormalities', 'chromosomal', 'aberrant', 'segregation', 'boundaries', 'topology', 'cumulus', 'divisionand']","['chromosomal abnormalities', 'abnormalities in chromosome placement and structure', 'changing topology of the cell mass due to the cell division/and or cell movement']"
42,13,42_stairs_ascend_inability_adjacent,"['stairs', 'ascend', 'inability', 'adjacent', 'descending', 'adjustments', 'unwieldy', 'wider', 'curbs', 'descend']","['unsuitable for use on stairs', 'not disclosed an unassisted portable aid to descend and ascend stairs', 'inability to ascend stairs safely']"
43,27,43_food_quantities_nutritional_recognition,"['food', 'quantities', 'nutritional', 'recognition', 'homeostasis', 'acids', 'eat', 'directions', 'eating', 'cookingpreparationeating']","['incapable of eating a meal in a normal fashion', 'lack of recognition of food preparations', 'confusion about appropriate quantities of food intake']"
44,17,44_violence_domestic_assault_abuse,"['violence', 'domestic', 'assault', 'abuse', 'tormenting', 'rape', 'protect', 'vulgarity', 'humiliating', 'aggravated']","['limited use to protect victims of domestic violence', 'domestic violence', 'violence and domestic abuse']"
45,37,45_late_increases_admission_hypothermia,"['late', 'increases', 'admission', 'hypothermia', 'heat', 'weather', 'factors', 'exhaustion', 'incidences', 'risk']","['late admission increases the risk of pneumonia', 'late admission increases the risk of dehydration', 'late admission increases the risk of hypothermia']"
46,18,46_anxiety_panic_levels_caretaker,"['anxiety', 'panic', 'levels', 'caretaker', 'checked', 'respond', 'taker', 'loved', 'felt', 'confused']","['increased patient anxiety', 'patient anxiety', 'anxiety']"
47,10,47_walker_feet_user_stability,"['walker', 'feet', 'user', 'stability', 'obstruct', 'anything', 'encounters', 'folding', 'tip', 'creating']","['substantial limitations to such walkers when the user encounters anything other than even surfaces', ""obstruct the user's full use of their hands, feet or body"", 'walker may tip backwardly toward the user']"
48,12,48_balance_tipping_unequal_party,"['balance', 'tipping', 'unequal', 'party', 'third', 'adequately', 'placing', 'issues', 'challenge', 'load']","['issues in balance', 'limited balance', 'lack of balance']"
49,15,49_safety_security_protection_event,"['safety', 'security', 'protection', 'event', 'component', 'public', 'housings', 'related', 'ambulating', 'incidents']","['large component housings in personal impact protection systems', 'security related event', 'health, safety, and/or security related event']"
50,16,50_traffic_car_slipping_reckless,"['traffic', 'car', 'slipping', 'reckless', 'driver', 'crashes', 'collisions', 'accidents', 'requirements', 'driving']","['traffic collisions', 'traffic safety', 'traffic accidents']"
51,10,51_growing_population_number_rise,"['growing', 'population', 'number', 'rise', 'shift', 'continues', 'demographic', 'expectancy', 'faster', 'fastest']","['fastest growing population in the us', 'growing elder population', 'growing problem within the population']"
52,10,52_incapacitated_obtain_help_unable,"['incapacitated', 'obtain', 'help', 'unable', 'summon', 'get', 'injured', 'coping', 'prompt', 'immediate']","['becoming incapacitated and unable to get help', 'suffering an incapacitated condition and unable to summon help', 'incapacitated and unable to get help']"
53,11,53_child_parents_children_wellbeing,"['child', 'parents', 'children', 'wellbeing', 'risks', 'instruct', 'inform', 'unapproved', 'predators', 'faced']","['parents are faced with additional challenges in managing the risks', 'child related risks', 'child predators frequently instruct the child not to inform their parents']"
54,9,54_home_setting_selection_within,"['home', 'setting', 'selection', 'within', 'carpet', 'specially', 'instrumenting', 'equipment', 'facilities', 'walkways']","['limited selection of home equipment available to the patient', 'ineffective in a home setting with tight walkways and carpet', 'limited selection of home equipment']"
55,9,55_weight_exceeds_obesity_adult,"['weight', 'exceeds', 'obesity', 'adult', 'any', 'far', 'capacity', 'pounds', 'gain', '300']","['increase in the prevalence of obesity', 'typical weight of any adult far exceeds the lifting capacity of most caregivers', 'weight of any adult far exceeds the lifting capacity of most caregivers']"
56,13,56_financial_burden_society_government,"['financial', 'burden', 'society', 'government', 'insurers', 'financially', 'expense', 'constraints', 'burdensome', 'substantial']","['financial burden on insurers', 'significant financial burden', 'financial burden on society']"
57,11,57_dexterity_crutch_opening_diminishing,"['dexterity', 'crutch', 'opening', 'diminishing', 'makes', 'closing', 'prove', 'quick', 'articles', 'resist']","['use of a crutch also makes it hard to carry articles', 'reduced dexterity', 'require a great deal of manual dexterity and strength to open and close']"
58,11,58_alzheimers_dementia_onset_disease,"['alzheimers', 'dementia', 'onset', 'disease', 'suffering', 'dementias', 'subject', 'difficulties', 'also', 'individuals']","[""onset of alzheimer's disease"", ""cognitive difficulties such as alzheimer's disease or dementia"", 'onset of dementia']"
59,10,59_transfer_sickbed_periodic_friendly,"['transfer', 'sickbed', 'periodic', 'friendly', 'extremely', 'patient', 'movable', 'encountered', 'persistent', 'transfers']","['necessity of a transfer device which is both care-giver and patient friendly', 'extremely difficult for one person to safely transfer a patient', 'not easy for a carer to move a patient from a sickbed to the movable bed']"
60,22,60_alone_being_anyone_long,"['alone', 'being', 'anyone', 'long', 'higher', 'exists', 'going', 'loved', 'faced', 'spends']","['higher risk of being alone and experiencing an emergency', 'higher risk of being alone', 'being alone']"
61,11,61_status_decline_rapid_health,"['status', 'decline', 'rapid', 'health', 'begins', 'cascade', 'degrade', 'healththreatening', 'rapidly', 'dramatically']","['rapid decline of the health of an individual', 'health status decline', 'can trigger a cascade of other factors that lead to a rapid decline of the health of an individual']"
62,9,62_dangerously_blood_lh_levels,"['dangerously', 'blood', 'lh', 'levels', 'low', 'pulse', 'oxygen', 'maximum', 'estradiol', 'saturation']","['dangerously high or low pulse rates', 'low oxygen saturation in the blood', 'dangerously high or low blood pressure']"
63,12,63_traffic_congestion_speeding_regulations,"['traffic', 'congestion', 'speeding', 'regulations', 'laws', 'chaos', 'urban', 'regulation', 'areas', 'awareness']","['lack of traffic laws and regulations', 'traffic congestion', 'management of traffic regulation systems in urban areas']"
64,8,64_autonomous_portable_transport_transportation,"['autonomous', 'portable', 'transport', 'transportation', 'vehicle', 'wall', 'unoccupied', 'carrier', 'vehicles', 'demand']","['unoccupied autonomous vehicles', 'not able to be fixed to the wall or to any mobile transport carrier', 'low demand for autonomous vehicle usage']"
65,11,65_subjective_morphologic_criteria_morphological,"['subjective', 'morphologic', 'criteria', 'morphological', 'assessment', 'nature', 'tightly', 'disturbed', 'inherently', 'removal']","['poorly predictive morphologic criteria', 'subjective and inaccurate nature of morphological assessment', 'subjective assessment of static morphologic criteria']"
66,9,66_privacy_invasion_unprotected_want,"['privacy', 'invasion', 'unprotected', 'want', 'concerns', 'camerabased', 'go', 'left', 'fear', 'invasive']","['privacy concerns', 'privacy issues with invasive systems', 'privacy of the user']"
67,7,67_wandering_pets_unexpectedly_trips,"['wandering', 'pets', 'unexpectedly', 'trips', 'straying', 'designated', 'trip', 'location', 'off', 'far']","['wandering off from a designated location', 'risk from wandering', 'wandering']"
68,13,68_home_delivery_general_care,"['home', 'delivery', 'general', 'care', 'health', 'hire', 'challenges', 'healthcare', 'unsuitable', 'dependence']","['challenges in taking care of their health at home', 'dependence upon the delivery of home health and general care', 'challenges and drawbacks in the delivery of home health and general care']"
69,10,69_crimes_crime_robbery_larceny,"['crimes', 'crime', 'robbery', 'larceny', 'violent', 'illegal', 'countries', 'property', 'prevention', 'certain']","['crime prevention', 'property crime', 'violent crimes']"
70,7,70_helpless_longer_spends_situation,"['helpless', 'longer', 'spends', 'situation', 'spend', 'had', 'would', 'person', 'remain', 'otherwise']","['the longer a person spends helpless', 'longer a person spends in a helpless situation', 'the longer a person spends in a helpless situation']"
