topic,keywords,count,,
0,"appetite, eat, eating, fashion, forgetting",3,,974
1,"disruptive, frequent, periods, rest, used",3,,
2,"brethren, complete, difficult, expect, recovery",3,,
3,"abducted, abduction, kidnapping, people, result",3,,
4,"humiliating, tormenting",2,,
5,"defects, designing, engineering, executing, failure",2,,
6,"calls, consuming, delayed, initiate, time",2,,
7,"congested, networks, overloaded, phone, stretched",2,,
8,"changes, continue, program, security, social",3,,
9,"breakdown, chafing, dangerous, shear, skin",3,,
10,"consequences, risk, wandering",2,,
11,"attached, character, discomfort, fear, stigma",4,,
12,"areas, lack, regulation, systems, traffic",4,,
13,"based, current, motion, pedestrian, speed",2,,
14,"early, effective, event, inability, warning",3,,
15,"acuity, diminished, distinct, features, visual",3,,
16,"hip, knee, replacements",2,,
17,"bending, buckling, injured, joint, knee",4,,
18,"000, 125, annually, deaths, year",5,,
19,"ascertain, geographical, hand, holds, location",2,,
20,"cardio, cardiovascular, deconditioning, disease, increased",2,,
21,"bath, difficulty, hot, similar, situations",3,,
22,"amounts, discovered, elapse, manner, quickly",3,,
23,"current, designed, device, location, network",2,,
24,"concerns, fear, independence, individual, privacy",5,,
25,"apparatus, confused, inject, need, patient",2,,
26,"accommodate, adjustable, different, heights, users",4,,
27,"disabling, drawbacks, including, sensor, tilt",3,,
28,"artificial, automation, home, need, systems",3,,
29,"access, accurately, condition, difficult, person",2,,
30,"individuals, injuries, leg, lower, surgery",3,,
31,"diet, environmental, factors, influences, stress",2,,
32,"apparatus, equipment, heavy, stationary",2,,
33,"challenging, dangerous, hazards, terrain, traverse",2,,
34,"alarm, alarms, false, high, rate",4,,
35,"autoimmune, factors, immunological, reactions",2,,
36,"older, seniors, smartphone, usage, years",3,,
37,"adequate, light, provide, require, systems",2,,
38,"components, errors, numerous, omissions, unreliable",4,,
39,"depression, major, risks, severe",4,,
40,"admission, dehydration, increases, late, risk",2,,
41,"complex, compromised, contagious, diseases, patient",2,,
42,"antibiotic, infection, infections, nosocomial, resistant",3,,
43,"high, localized, patient, pressure, stresses",5,,
44,"alert, button, panic, press, push",5,,
45,"ascend, inability, options, stairs, use",8,,
46,"child, children, related, risks, safety",3,,
47,"doses, exposure, failure, fsh, high",3,,
48,"abnormal, altered, balance, development, gait",4,,
49,"access, capacity, information, lack, relevant",4,,
50,"access, advantage, farmers, information, lack",4,,
51,"home, impractical, limited, space, use",6,,
52,"assistance, cost, costly, costs, monitoring",4,,
53,"associated, conventional, drawbacks, existing, systems",2,,
54,"alzheimer, care, dementia, disease, individuals",7,,
55,"bed, damage, pressure, sores, ulcers",4,,
56,"cause, eclampsia, increased, leading, preeclampsia",3,,
57,"false, known, low, mechanisms, positives",6,,
58,"helpless, longer, person, situation, spends",5,,
59,"adjustability, lack, solutions",2,,
