Topic,Count,Name,Representation,Representative_Docs
-1,28,-1_failure_the_to_viable,"['failure', 'the', 'to', 'viable', 'from', 'on', 'most', 'ovulation', 'negative', 'correctly']","['failure of the blastocyst to escape from the zona pellucida', 'failure to correctly identify the most viable embryos', 'failure to correctly identify the most viable embryos can lead to unsuccessful ivf treatment or multiple gestation pregnancy']"
0,83,0_pregnancy_multiple_rates_of,"['pregnancy', 'multiple', 'rates', 'of', 'pregnancies', 'miscarriage', 'birth', 'low', 'gestations', 'fertility']","['high rates of multiple gestations', 'risk of multiple pregnancy', 'high rates of multiple pregnancies']"
1,45,1_embryos_embryo_of_are,"['embryos', 'embryo', 'of', 'are', 'to', 'and', 'the', 'that', 'viability', 'methods']","['major challenges has been to identify the embryos that are most suitable for transfer', 'challenges in identifying the embryos that are most suitable for transfer', 'identify the embryos that are most suitable for transfer and most likely to result in term pregnancy']"
2,38,2_infertility_uterine_endometrium_unexplained,"['infertility', 'uterine', 'endometrium', 'unexplained', 'in', 'the', 'male', 'mammals', 'ovary', 'infertile']","['lack of cross talks between the uterine endometrium and the embryos', 'infertility', 'unexplained infertility']"
3,7,3_ovarian_hyperstimulation_syndrome_stimulation,"['ovarian', 'hyperstimulation', 'syndrome', 'stimulation', 'ohss', 'syndromes', 'hyper', 'traditional', 'means', 'incidence']","['ovarian hyperstimulation', 'ovarian hyperstimulation syndrome', 'ovarian hyperstimulation syndrome (ohss)']"
4,7,4_eggs_quality_egg_decline,"['eggs', 'quality', 'egg', 'decline', 'produce', 'maturation', 'immature', 'decreased', 'fullymatured', 'collected']","['variable quality of eggs', 'poor quality eggs', 'only a subset of eggs collected from patients are at an appropriate stage of maturation']"
5,6,5_ivf_cycle_cycles_rate,"['ivf', 'cycle', 'cycles', 'rate', 'per', 'result', 'live', 'following', 'birth', '29']","['average live-birth rate for an ivf cycle is approximately 1-in-3', 'low live birth rate per cycle following ivf', 'live birth rate, per cycle, following ivf was just 29%']"
6,6,6_premature_prematurity_lh_surges,"['premature', 'prematurity', 'lh', 'surges', 'surge', 'luteolysis', 'luteinization', 'long', 'damage', 'term']","['prematurity with potential for long term damage', 'premature lh surge', 'premature lh surges']"
7,5,7_blastocyst_transfer_arrested_small,"['blastocyst', 'transfer', 'arrested', 'small', 'transplanted', 'controversial', 'all', 'after', 'actually', 'qualify']","['unsuccessful implantation after blastocyst transfer', 'not all women qualify for blastocyst transfer', 'blastocyst transfer is still controversial']"
8,4,8_couples_chance_overestimating_probability,"['couples', 'chance', 'overestimating', 'probability', 'achieving', 'with', 'pregnancy', 'very', 'for', 'success']","[""overestimating the couple's probability of achieving a pregnancy"", 'couples with a very low chance for success', 'couples with a high chance for spontaneous pregnancy']"
9,3,9_ability_reduced_have_technological,"['ability', 'reduced', 'have', 'technological', 'sophistication', 'parent', 'offspring', 'lacks', 'children', 'inability']","['parent lacks the technological sophistication', 'inability or reduced ability to have children', 'reduced ability to have offspring']"
10,3,10_preeclampsia_material_leading_cause,"['preeclampsia', 'material', 'leading', 'cause', 'increased', 'risk', 'of', '', '', '']","['increased material risk of pre-eclampsia', 'leading cause of preeclampsia', 'preeclampsia']"
11,3,11_conceiving_difficulties_difficulty_conceive,"['conceiving', 'difficulties', 'difficulty', 'conceive', 'inability', 'in', 'to', '', '', '']","['inability to conceive', 'difficulties in conceiving', 'difficulty conceiving']"
12,2,12_ovulatory_disturbances_obstetrical_complications,"['ovulatory', 'disturbances', 'obstetrical', 'complications', '', '', '', '', '', '']","['obstetrical complications', 'ovulatory disturbances']"
