Topic,Count,Name,Representation,Representative_Docs
-1,547,-1_may_physical_person_the,"['may', 'physical', 'person', 'the', 'in', 'be', 'and', 'require', 'transfer', 'or']","['high information content displays require high resolution that is not feasible in low information content systems', 'require a person to be ambulatory or have a significant degree of upper body strength', 'individuals that have medical conditions that may require fast emergency response']"
0,144,0_costs_hospital_admissions_costly,"['costs', 'hospital', 'admissions', 'costly', 'expensive', 'cost', 'financial', 'healthcare', 'burden', 'billion']","['30% of hospital admissions for people over the age of 65 caused by non-compliance', '10% of hospital admissions related to medication issues', '10% of hospital admissions']"
1,131,1_aging_elderly_population_growing,"['aging', 'elderly', 'population', 'growing', 'older', 'age', 'elders', 'seniors', 'senior', 'citizens']","['elderly population', 'aging population', 'aging of the population']"
2,115,2_medication_medications_adherence_prescribed,"['medication', 'medications', 'adherence', 'prescribed', 'compliance', 'take', 'taken', 'taking', 'regimens', 'regimen']","['medication non-adherence', 'medication adherence', 'medication compliance']"
3,68,3_position_sitting_standing_seated,"['position', 'sitting', 'standing', 'seated', 'posture', 'from', 'down', 'impossible', 'difficulty', 'furniture']","['difficulty in standing up and sitting down', 'difficulty in moving a person from a seated position to a standing position', 'difficult in rising from the sitting position to the standing position']"
4,92,4_falls_fall_falling_detection,"['falls', 'fall', 'falling', 'detection', 'risk', 'injuries', 'acute', 'real', 'addressed', 'reduces']","['risk for falls', 'risk of falls', 'falls']"
5,114,5_pregnancy_multiple_miscarriage_pregnancies,"['pregnancy', 'multiple', 'miscarriage', 'pregnancies', 'achieving', 'gestations', 'probability', 'rates', 'spontaneous', 'chances']","['reporting an overly optimistic probability of achieving a pregnancy or live birth', 'high rates of multiple pregnancies', 'risk of multiple pregnancy']"
6,84,6_cognitive_errors_unreliable_components,"['cognitive', 'errors', 'unreliable', 'components', 'tracking', 'sensitivity', 'capacity', 'systems', 'function', 'drawbacks']","['several unreliable components', 'tracking errors', 'cognitive function']"
7,128,7_infertility_fertility_reproductive_uterine,"['infertility', 'fertility', 'reproductive', 'uterine', 'endometrium', 'unexplained', 'obstetrical', 'subfertility', 'pathologies', 'infertile']","['infertility condition', 'infertility', 'infertility problems']"
8,94,8_health_consequences_medical_condition,"['health', 'consequences', 'medical', 'condition', 'conditions', 'adverse', 'diseases', 'severe', 'physical', 'negative']","['catastrophic health consequences to the patient', 'severe negative health consequences', 'severe health consequences']"
9,87,9_embryos_embryo_development_transferred,"['embryos', 'embryo', 'development', 'transferred', 'viability', 'identify', 'quality', 'embryonic', 'implantation', 'transfer']","['major challenges has been to identify the embryos that are most suitable for transfer', 'poor implantation rate of ivf embryos', 'identify the embryos that are most suitable for transfer and most likely to result in term pregnancy']"
10,62,10_injury_injuries_work_serious,"['injury', 'injuries', 'work', 'serious', 'bodily', 'death', 'damage', 'brain', 'risk', 'trauma']","['risk of injury to the patient', 'injury', 'risk of injury']"
11,78,11_mobility_reduced_impaired_problems,"['mobility', 'reduced', 'impaired', 'problems', 'further', 'decrease', 'another', 'compromises', 'influence', 'girt']","['limited mobility', 'lack of mobility', 'mobility']"
12,32,12_devices_device_clamping_these,"['devices', 'device', 'clamping', 'these', 'result', 'part', 'unstable', 'cumbersome', 'complicated', 'viruses']","['complexity has the result that a problem in a part of the device can result in a total crash of the system', 'position of the clamping device is not secured', 'weak part of the clamping device']"
