Document,Topic,Max_Probability
pre-term birth,11,0.15373769586483518
feedback phenomenon,-1,0.023898119798794117
difficulty adhering to prescribed therapies,1,0.17015095830813626
auxiliary equipment is expensive,-1,0.050103473671850106
assisting necessity by a caregiver,0,0.3500470727365917
need for a simple to use apparatus by a therapist or patient,47,0.3597766822634284
prior art devices and systems being too expensive and complex,3,0.06782441046175669
insufficient strength to lift themselves from the chair to the standing position,20,0.01605941236795867
neglect of regular motion,21,0.026183621577803164
engineering defects in designing and executing the road,14,0.0231872423633748
client could be unconscious or unable to press a panic button,24,0.030754693428002678
low success rate of ivf,42,1.0
elderly or people with disabilities,4,0.25794958795374023
would otherwise remain helpless,-1,0.017214931250839272
more than a million new caregivers are required,0,0.46236478866753206
failure to realize that activities are currently unavailable,19,0.27786741054288366
rising costs in healthcare,28,1.0
calls placed from portable text devices cannot be automatically routed to the geographically appropriate psap,23,1.0
the transmission of the sensed vital parameters to the external storage devices has to be initiated by the elderly patient,5,1.0
need for improved systems and methods for monitoring the activities and wellbeing of elderly individuals,5,1.0
problems of mobility,34,1.0
smartphone usage is less than 10% among seniors 75 years and older,4,0.2791241064612635
monitoring and evaluating physical activity patterns,19,0.08736521700722613
major challenges has been to identify the embryos that are most suitable for transfer,7,1.0
devastating toll on caregivers,0,0.2775991636347057
difficulty for staff and professionals to adhere to necessary schedules,6,0.04885995591432482
failure of the elderly person to carry or wear the monitoring device,5,0.061874407545513724
increased possibility of miscarriage,11,0.10873219681490862
immunological factors,17,0.14594420757392418
reduced fertility,12,0.14040977586191644
current walkers are rigid,25,1.0
ineffectively managing the weight transfer to a metal walker,25,0.4034411542437557
occupational injuries to the care givers,-1,0.07164377731417382
unexplained infertility,12,1.0
loss of life as a result of drug complications or mistakes,49,1.0
individual must recognize that he/she is in a situation in which help is likely to be needed,6,0.19060338250294176
over 50% of falls among seniors were never reported to a health professional,2,1.0
significant challenge in non-invasive selection of the top-quality embryo,7,1.0
existing heads up displays create an image that is projected into the field of view of a user,35,1.0
difficult to control the patient's weight,-1,0.024948409059186265
comatose condition,32,0.31818417790312437
certain diseases and medical conditions,32,0.06733609302653416
need assistance in standing and walking,31,0.096610334114643
"difficulty getting in and out of a bath, hot tub, or other similar situations",-1,0.025030160466806062
broken hips,-1,0.01986591511805969
abnormal location,-1,0.033806152363224165
mistreatment of a person in care,0,1.0
assault,13,0.3250509791854522
growing senior population wants to age in place,4,1.0
one fifth of falling elders are admitted to hospital after staying on the floor for over one hour following a fall,2,0.45711316602395735
implantation failure,7,0.015303939094541533
police or local authorities do not have the ability to constantly track the location of the abuser,-1,0.04627562232552103
wait for several hours until they get assistance,6,0.12497940187511994
weak part of the clamping device,-1,0.03201784407201957
disease progression,17,0.0848631005177547
demand for various mobility aiding devices,-1,0.02341438447909371
estimated $10 billion annual healthcare expenditure,28,0.33918626144560166
physical injuries,67,1.0
uneven gait,-1,0.1656318051050881
dangers that can potentially harm a large number of people,61,1.0
risk of abuse,-1,0.06994773818955288
step-by-step process,-1,0.11441101365112945
falls are the leading cause of accidental death for seniors,2,0.37231377291515655
"no care, except in fortuitous circumstances, in times of emergency",-1,0.005832141879271824
user is relatively weak,18,0.16300806051270667
hamper free movements of the body,21,0.034091705928565544
90% of healthcare recipients make medication errors,1,0.1880365033458195
difficulties in conceiving,12,0.11956378061446972
inability to produce fully-matured eggs,7,0.02054408576917537
high risk of falling,2,0.16596066759429262
predictive warning before an event,69,1.0
advance of chronic diseases,17,0.07371176128111277
inability or reduced ability to have children,-1,0.01621640585799837
decreases in strength,51,0.11142721512413421
infertility in mammals,12,1.0
high-risk occupation,61,1.0
time consuming and generally very expensive home visits,-1,0.017658841370975245
