entity_text,keyword_1
harmful effects on the environment,harmful effect
harmful effects on humans,harmful effect
lowering diesel emissions,diesel emission
controlling the levels of diesel particulate material,diesel particulate material
toxic air contaminant,toxic air contaminant
increase in back pressure of the filter,back pressure
clogging of the pores by soot,clogging of pore
high porosity cordierite composition,high porosity cordierite composition
ceramic articles,ceramic article
ceramic filter applications,ceramic filter application
porous ceramic body,porous ceramic body
ceramic honeycomb body,ceramic honeycomb body
method of making a porous ceramic article,porous ceramic article
diesel engine manufacturers,diesel engine manufacturer
emission-control companies,emission-control company
defects in a honeycomb body,honeycomb body
"manufacturing defects such as holes, cracks, or fissures",manufacturing defect
filtration efficiency or integrity of a honeycomb filter,honeycomb filter
method and apparatus for detecting defects in a honeycomb particulate filter,honeycomb particulate filter
system for detecting defects in a honeycomb body,defect detection system
particulate fluid source,particulate fluid source
flow straightener,flow straightener
honeycomb filters,honeycomb filter
diesel particulate filtration,diesel particulate filtration
diesel emissions,diesel emission
possibly harmful effects,harmful effect
stricter environmental regulations,environmental regulation
lowering diesel emissions,diesel emission
diesel particulate material,diesel particulate material
carbon soot,carbon soot
gradual rise in the back pressure,back pressure
compromise the survivability of the filter,survivability of filter
ceramic honeycomb articles,ceramic honeycomb article
cordierite ceramic filters,cordierite ceramic filter
diesel particulate filter,diesel particulate filter
methods for manufacturing,method
diesel engine manufacturers,diesel engine manufacturer
emission-control companies,emission-control company
consumer,consumer
persistent problem in the art of petroleum refining,persistent problem
to reach acceptably low levels of sulfur content,sulfur content
removal of sulfur is critical,sulfur removal
government agencies are currently formulating new regulations,government agency
sulfur content in fuels to be substantially lower than current practice,sulfur content
known hydrodesulfurization methods do not provide acceptable levels of sulfur removal,hydrodesulfurization method
countercurrent processes typically experience difficulty in reactor flooding,countercurrent process
temperature is detrimental to hydrodesulfurization and other catalysts,hydrodesulfurization catalyst
process for hydroprocessing a hydrocarbon feedstock,hydroprocessing process
process whereby sulfur content is advantageously reduced to less than or equal to about 10 wppm,sulfur content
process which can be carried out without substantially increasing the equipment size,equipment size
hydrodesulfurization system which accomplishes the aforesaid objectives,hydrodesulfurization system
simple processing scheme that improves sulfur removal,sulfur removal
government agencies,government agency
hydrocarbon feedstocks,hydrocarbon feedstock
diesel,diesel
gasoil,gasoil
naphtha,naphtha
nox emissions from vehicles with internal combustion engines,nox emission
environmental problem,environmental problem
regulations pending that will limit nox emissions,nox emission
nox production,nox production
engine efficiency decrease,engine efficiency
smoke in the exhaust,smoke in exhaust
trade-off between nox production and particulate matter production,nox production
not proven commercially,commercial proof
peak nox conversion efficiency with lean-burn catalysts is unacceptably low,lean-burn catalyst
lack of infrastructure for distributing ammonia,infrastructure for distributing ammonia
possible release of ammonia into the environment,ammonia release
"long felt need for environmentally friendly, efficient, and reliable power generation systems for vehicles",power generation system
clean power generation system,clean power generation system
fuel cell,fuel cell
exhaust gas recirculation (egr),exhaust gas recirculation
lean-burn nox catalysts,lean-burn nox catalyst
nox adsorber-catalysts,nox adsorber-catalyst
selective catalytic reduction (scr),selective catalytic reduction
fuel reformers,fuel reformer
hybrid power generation system,hybrid power generation system
power generation system in which an internal combustion engine is operated to produce shaft power and an exhaust stream,power generation system
vehicles,vehicle
nox emissions from vehicles with internal combustion engines,nox emission
environmental problem,environmental problem
regulations pending that will limit nox emissions,nox emission
exhaust is too oxygen-rich for three-way catalysts to be effective,three-way catalyst
reduction of nox in an oxidizing atmosphere is difficult,nox reduction
"challenging to find a lean-burn nox catalyst that has the required activity, durability, and operating temperature range",lean-burn nox catalyst
lean-burn nox catalysts tend to be hydrothermally unstable,lean-burn nox catalyst
noticeable loss of activity occurs after relatively little use,loss of activity
fuel economy penalty of 3% or more,fuel economy penalty
peak nox conversion efficiency with lean-burn catalysts is unacceptably low,lean-burn catalyst
concern over the lack of infrastructure for distributing ammonia or a suitable precursor,infrastructure for distributing ammonia
concerns relating to the possible release of ammonia into the environment,ammonia release
exhaust treatment system having an scr reactor downstream of a nox adsorber,exhaust treatment system
syn gas from a fuel reformer is used to regenerate the nox adsorber,syn gas
exhaust treatment system having an scr reactor downstream of an lnt and an ammonia source separate from the lnt,"exhaust treatment system, scr reactor"
exhaust system comprising first and second lnts and one or more scrs downstream of the lnts,exhaust system
device comprising first and second nox adsorbers contained in a single housing,nox adsorber
coating a moving part in an exhaust system with an oxidation catalyst to mitigate fouling,oxidation catalyst
internal combustion engines,internal combustion engine
diesel engines,diesel engine
lean burn gasoline engines,lean burn gasoline engine
manufacturers,manufacturer
researchers,researcher
countries,country
united states,united states
nox emissions,nox emission
increased combustion temperatures,combustion temperature
require additional hardware and control schemes,additional hardware
effectiveness of this method decreases significantly at an exhaust temperature below 400Â° c,exhaust temperature
"infrastructure-related problems associated with storage, transport, and handling of ammonia",infrastructure-related problem
un-reacted ammonia may pass through the scr and be exhausted into the atmosphere,un-reacted ammonia
requires replenishing urea on-board the vehicle,urea on-board vehicle
freezing point of the urea solution is ??2Â° c,freezing point
require a large catalyst volume and a substantial mass of expensive platinum-group metals,catalyst volume
periodic intrusive operation of the engine to regenerate the catalyst,intrusive operation
hydrocarbons present in diesel and gasoline engine exhaust require high temperatures for adequate nox conversion,nox conversion
"diesel fuel as well as long, straight-chain hydrocarbons are only adequate above a catalyst temperature of about 300Â° c",diesel fuel
these species are not readily available in engine exhaust streams,engine exhaust stream
supplemental heating of the exhaust may not be suitable for practical engine exhaust systems on a vehicle,supplemental heating
any aldehydes produced in engine in-cylinder burning are oxidized in the oxidation catalyst,aldehyde; oxidation catalyst
method and apparatus for exhaust gas purifying,exhaust gas purifier
hydrocarbon-selective catalytic reduction device,hydrocarbon-selective catalytic reduction device
injector device adapted to inject a blend of fuel and an ignition improver,injector device
control module adapted to control the injector device,control module
internal combustion engines,internal combustion engine
clogging of the filter,filter clogging
increase in the back pressure at the exhaust,back pressure
increasing fuel consumption of the engine,fuel consumption
total filter clogging,filter clogging
serious engine dysfunctioning,engine dysfunction
complete engine failure,engine failure
destruction of the filter,filter
major drawback of increasing the fuel consumption,fuel consumption
costly additives,costly additive
significantly increases the fuel consumption of the engine,fuel consumption
method for regenerating a particle filter,particle filter
catalytic combustion,catalytic combustion
raising the temperature of the fluid,temperature of the fluid
heating said fluid by means of a heating resistor,heating resistor
circulating exhaust gases around a catalytic element,"circulating exhaust gas, catalytic element"
adding an additive to the fuel,additive
internal-combustion engine,internal-combustion engine
gaseous contaminants,gaseous contaminant
limitations found in the prior art,prior art
time-consuming and expensive limitation,time-consuming limitation
gas bypass and breakthrough,gas bypass
lower activity levels of impregnated media,impregnated media
onsite chemistry air filtration system,onsite chemistry air filtration system
conventional particulate filtration section,particulate filtration section
photochemical filtration section,photochemical filtration section
