entity_text,keywords,keywords_in_abstract,keywords_in_brfsum
harmful effects on the environment,environment,,environment
harmful effects on humans,"harmful effects, humans",,"harmful effects, humans"
lowering diesel emissions,diesel emissions,,diesel emissions
controlling the levels of diesel particulate material,diesel particulate material,,diesel particulate material
toxic air contaminant,toxic air contaminant,,toxic air contaminant
increase in back pressure of the filter,"back pressure, filter",filter,"back pressure, filter"
clogging of the pores by soot,"pores, soot",,"pores, soot"
high porosity cordierite composition,"high porosity, cordierite composition",high porosity,
ceramic articles,ceramic articles,ceramic articles,ceramic articles
ceramic filter applications,"ceramic filter, applications","ceramic filter, applications","ceramic filter, applications"
porous ceramic body,porous ceramic body,,porous ceramic body
ceramic honeycomb body,ceramic honeycomb body,,ceramic honeycomb body
method of making a porous ceramic article,porous ceramic article,,porous ceramic article
diesel engine manufacturers,diesel engine manufacturers,,diesel engine manufacturers
emission-control companies,emission-control companies,,emission-control companies
defects in a honeycomb body,"honeycomb body, defects","honeycomb body, defects","honeycomb body, defects"
"manufacturing defects such as holes, cracks, or fissures","manufacturing defects, holes, cracks, fissures",,"manufacturing defects, holes, cracks, fissures"
filtration efficiency or integrity of a honeycomb filter,"filtration efficiency, honeycomb filter",,"filtration efficiency, honeycomb filter"
method and apparatus for detecting defects in a honeycomb particulate filter,"method, apparatus, defects, honeycomb particulate filter","method, apparatus, defects","method, apparatus, defects, honeycomb particulate filter"
system for detecting defects in a honeycomb body,"system, defects, honeycomb body","system, defects, honeycomb body","system, defects, honeycomb body"
particulate fluid source,particulate fluid source,particulate fluid source,particulate fluid source
flow straightener,flow straightener,flow straightener,flow straightener
honeycomb filters,honeycomb filters,,honeycomb filters
diesel particulate filtration,diesel particulate filtration,,diesel particulate filtration
diesel emissions,diesel emissions,,diesel emissions
possibly harmful effects,effects,,effects
stricter environmental regulations,environmental regulations,,environmental regulations
lowering diesel emissions,diesel emissions,,diesel emissions
diesel particulate material,diesel particulate material,,diesel particulate material
carbon soot,carbon soot,,carbon soot
gradual rise in the back pressure,back pressure,,back pressure
compromise the survivability of the filter,"survivability, filter",filter,"survivability, filter"
ceramic honeycomb articles,ceramic honeycomb articles,ceramic honeycomb articles,ceramic honeycomb articles
cordierite ceramic filters,cordierite ceramic filters,,cordierite ceramic filters
diesel particulate filter,diesel particulate filter,,diesel particulate filter
methods for manufacturing,"methods, manufacturing","methods, manufacturing","methods, manufacturing"
diesel engine manufacturers,diesel engine manufacturers,,diesel engine manufacturers
emission-control companies,emission-control companies,,emission-control companies
consumer,consumer,,consumer
persistent problem in the art of petroleum refining,"art, petroleum refining",,"art, petroleum refining"
to reach acceptably low levels of sulfur content,sulfur content,,sulfur content
removal of sulfur is critical,sulfur removal,,sulfur removal
government agencies are currently formulating new regulations,"government agencies, regulations",,"government agencies, regulations"
sulfur content in fuels to be substantially lower than current practice,"sulfur content, fuels, current practice",,"sulfur content, fuels, current practice"
known hydrodesulfurization methods do not provide acceptable levels of sulfur removal,"hydrodesulfurization methods, sulfur removal",,"hydrodesulfurization methods, sulfur removal"
countercurrent processes typically experience difficulty in reactor flooding,"countercurrent processes, reactor flooding",,"countercurrent processes, reactor flooding"
temperature is detrimental to hydrodesulfurization and other catalysts,"temperature, hydrodesulfurization, catalysts",,"temperature, hydrodesulfurization, catalysts"
process for hydroprocessing a hydrocarbon feedstock,"hydroprocessing, hydrocarbon feedstock",hydroprocessing,"hydroprocessing, hydrocarbon feedstock"
process whereby sulfur content is advantageously reduced to less than or equal to about 10 wppm,sulfur content,,sulfur content
process which can be carried out without substantially increasing the equipment size,equipment size,,equipment size
hydrodesulfurization system which accomplishes the aforesaid objectives,"hydrodesulfurization system, objectives",,"hydrodesulfurization system, objectives"
simple processing scheme that improves sulfur removal,"processing scheme, sulfur removal",,"processing scheme, sulfur removal"
government agencies,government agencies,,government agencies
hydrocarbon feedstocks,hydrocarbon feedstocks,,hydrocarbon feedstocks
diesel,diesel,,diesel
gasoil,gasoil,,gasoil
naphtha,naphtha,,naphtha
nox emissions from vehicles with internal combustion engines,"nox emissions, vehicles, internal combustion engines",,"nox emissions, vehicles, internal combustion engines"
environmental problem,environmental problem,,environmental problem
regulations pending that will limit nox emissions,"regulations, nox emissions",,"regulations, nox emissions"
nox production,nox production,,nox production
engine efficiency decrease,engine efficiency,,engine efficiency
smoke in the exhaust,"smoke, exhaust",exhaust,"smoke, exhaust"
trade-off between nox production and particulate matter production,"trade-off, nox production, particulate matter production",,"trade-off, nox production, particulate matter production"
not proven commercially,[],,
peak nox conversion efficiency with lean-burn catalysts is unacceptably low,"nox conversion efficiency, lean-burn catalysts",,"nox conversion efficiency, lean-burn catalysts"
lack of infrastructure for distributing ammonia,"infrastructure, distributing, ammonia",,"infrastructure, distributing, ammonia"
possible release of ammonia into the environment,"ammonia, environment",,"ammonia, environment"
"long felt need for environmentally friendly, efficient, and reliable power generation systems for vehicles","power generation systems, vehicles",,"power generation systems, vehicles"
clean power generation system,clean power generation system,clean power generation system,
fuel cell,fuel cell,fuel cell,fuel cell
exhaust gas recirculation (egr),"exhaust gas recirculation, egr",,"exhaust gas recirculation, egr"
lean-burn nox catalysts,lean-burn nox catalysts,,lean-burn nox catalysts
nox adsorber-catalysts,nox adsorber-catalysts,,nox adsorber-catalysts
selective catalytic reduction (scr),selective catalytic reduction,,selective catalytic reduction
fuel reformers,fuel reformers,,fuel reformers
hybrid power generation system,hybrid power generation system,,hybrid power generation system
power generation system in which an internal combustion engine is operated to produce shaft power and an exhaust stream,"power generation system, internal combustion engine, shaft power, exhaust stream","power generation system, internal combustion engine, shaft power, exhaust stream","power generation system, internal combustion engine, shaft power, exhaust stream"
vehicles,vehicles,,vehicles
nox emissions from vehicles with internal combustion engines,"nox emissions, vehicles, internal combustion engines",,"nox emissions, vehicles, internal combustion engines"
environmental problem,environmental problem,,environmental problem
regulations pending that will limit nox emissions,"regulations, nox emissions",,"regulations, nox emissions"
exhaust is too oxygen-rich for three-way catalysts to be effective,"exhaust, oxygen-rich, three-way catalysts",exhaust,"exhaust, oxygen-rich, three-way catalysts"
