entity_text,keyword_1,keyword_2,keyword_3,keyword_4,keyword_5
harmful effects on the environment,environment,,,,
harmful effects on humans,harmful effect,human,,,
lowering diesel emissions,diesel,emission,,,
controlling the levels of diesel particulate material,diesel particulate material,level,,,
toxic air contaminant,toxic air contaminant,,,,
increase in back pressure of the filter,back pressure,filter,,,
clogging of the pores by soot,clogging,pore,soot,,
high porosity cordierite composition,porosity,cordierite,composition,,
ceramic articles,ceramic article,,,,
ceramic filter applications,ceramic filter,,,,
porous ceramic body,porous ceramic body,,,,
ceramic honeycomb body,ceramic,honeycomb,body,,
method of making a porous ceramic article,porous ceramic article,,,,
diesel engine manufacturers,diesel engine,manufacturer,,,
emission-control companies,emission control,company,,,
defects in a honeycomb body,defect,honeycomb body,,,
"manufacturing defects such as holes, cracks, or fissures",manufacturing defect,hole,crack,fissure,
filtration efficiency or integrity of a honeycomb filter,filtration efficiency,honeycomb filter,filter integrity,,
method and apparatus for detecting defects in a honeycomb particulate filter,honeycomb particulate filter,defect detection,,,
system for detecting defects in a honeycomb body,defect,honeycomb body,,,
particulate fluid source,particulate,fluid,source,,
flow straightener,flow straightener,,,,
honeycomb filters,honeycomb filter,,,,
diesel particulate filtration,diesel particulate filtration,,,,
diesel emissions,diesel emission,,,,
possibly harmful effects,empty list,,,,
stricter environmental regulations,environmental regulation,,,,
lowering diesel emissions,diesel,emission,,,
diesel particulate material,diesel particulate material,,,,
carbon soot,carbon soot,,,,
gradual rise in the back pressure,back pressure,,,,
compromise the survivability of the filter,filter,survivability,,,
ceramic honeycomb articles,ceramic honeycomb,article,,,
cordierite ceramic filters,cordierite,ceramic filter,,,
diesel particulate filter,diesel particulate filter,,,,
methods for manufacturing,[],,,,
diesel engine manufacturers,diesel engine,manufacturer,,,
emission-control companies,emission control,company,,,
consumer,consumer,,,,
persistent problem in the art of petroleum refining,petroleum refining,problem,,,
to reach acceptably low levels of sulfur content,sulfur content,,,,
removal of sulfur is critical,sulfur,,,,
government agencies are currently formulating new regulations,government agency,regulation,,,
sulfur content in fuels to be substantially lower than current practice,sulfur content,fuel,,,
known hydrodesulfurization methods do not provide acceptable levels of sulfur removal,hydrodesulfurization,sulfur removal,,,
countercurrent processes typically experience difficulty in reactor flooding,countercurrent process,reactor,flooding,,
temperature is detrimental to hydrodesulfurization and other catalysts,temperature,hydrodesulfurization,catalyst,,
process for hydroprocessing a hydrocarbon feedstock,hydroprocessing,hydrocarbon,feedstock,,
process whereby sulfur content is advantageously reduced to less than or equal to about 10 wppm,sulfur content,,,,
process which can be carried out without substantially increasing the equipment size,equipment size,,,,
hydrodesulfurization system which accomplishes the aforesaid objectives,hydrodesulfurization,,,,
simple processing scheme that improves sulfur removal,sulfur removal,processing scheme,,,
government agencies,government agency,,,,
hydrocarbon feedstocks,hydrocarbon,feedstock,,,
diesel,diesel,,,,
gasoil,gasoil,,,,
naphtha,naphtha,,,,
nox emissions from vehicles with internal combustion engines,nox emission,vehicle,internal combustion engine,,
environmental problem,environmental problem,,,,
regulations pending that will limit nox emissions,nox emission,regulation,,,
nox production,nox production,,,,
engine efficiency decrease,engine,efficiency,,,
smoke in the exhaust,smoke,exhaust,,,
trade-off between nox production and particulate matter production,nox production,particulate matter production,,,
not proven commercially,[],,,,
peak nox conversion efficiency with lean-burn catalysts is unacceptably low,nox conversion,lean-burn catalyst,peak efficiency,,
lack of infrastructure for distributing ammonia,infrastructure,ammonia,,,
possible release of ammonia into the environment,ammonia,environment,,,
"long felt need for environmentally friendly, efficient, and reliable power generation systems for vehicles",power generation,vehicle,environment,,
clean power generation system,power generation,,,,
fuel cell,fuel cell,,,,
exhaust gas recirculation (egr),exhaust gas recirculation,egr,,,
lean-burn nox catalysts,lean-burn,nox catalyst,,,
nox adsorber-catalysts,nox adsorber,catalyst,,,
selective catalytic reduction (scr),selective catalytic reduction,scr,,,
fuel reformers,fuel reformer,,,,
hybrid power generation system,power generation,hybrid system,,,
power generation system in which an internal combustion engine is operated to produce shaft power and an exhaust stream,power generation,internal combustion engine,shaft power,exhaust stream,
vehicles,vehicle,,,,
nox emissions from vehicles with internal combustion engines,nox emission,vehicle,internal combustion engine,,
environmental problem,environmental problem,,,,
regulations pending that will limit nox emissions,nox emission,regulation,,,
exhaust is too oxygen-rich for three-way catalysts to be effective,exhaust,oxygen,three-way catalyst,,
reduction of nox in an oxidizing atmosphere is difficult,nox,oxidizing atmosphere,,,
"challenging to find a lean-burn nox catalyst that has the required activity, durability, and operating temperature range",nox catalyst,activity,durability,operating temperature range,
lean-burn nox catalysts tend to be hydrothermally unstable,lean-burn,nox catalyst,hydrothermal stability,,
noticeable loss of activity occurs after relatively little use,activity,use,,,
fuel economy penalty of 3% or more,fuel economy,penalty,,,
peak nox conversion efficiency with lean-burn catalysts is unacceptably low,nox conversion,lean-burn catalyst,conversion efficiency,,
concern over the lack of infrastructure for distributing ammonia or a suitable precursor,infrastructure,ammonia,precursor,,
concerns relating to the possible release of ammonia into the environment,ammonia,environment,,,
exhaust treatment system having an scr reactor downstream of a nox adsorber,exhaust treatment,scr reactor,nox adsorber,,
syn gas from a fuel reformer is used to regenerate the nox adsorber,syn gas,fuel reformer,nox adsorber,,
exhaust treatment system having an scr reactor downstream of an lnt and an ammonia source separate from the lnt,exhaust treatment,scr reactor,lnt,ammonia source,
exhaust system comprising first and second lnts and one or more scrs downstream of the lnts,exhaust system,lnt,scr,,
device comprising first and second nox adsorbers contained in a single housing,nox adsorber,device,housing,,
coating a moving part in an exhaust system with an oxidation catalyst to mitigate fouling,coating,moving part,exhaust system,oxidation catalyst,fouling
internal combustion engines,internal combustion engine,,,,
diesel engines,diesel engine,,,,
lean burn gasoline engines,lean burn,gasoline engine,,,
manufacturers,manufacturer,,,,
researchers,[],,,,
countries,country,,,,
