entity_text,keyword_1,keyword_2,keyword_3,keyword_4,keyword_5,keyword_6
harmful effects on the environment,harmful effect,environment,,,,
harmful effects on humans,harmful effect,human,,,,
lowering diesel emissions,diesel emission,,,,,
controlling the levels of diesel particulate material,level,diesel particulate material,,,,
toxic air contaminant,toxic air contaminant,,,,,
increase in back pressure of the filter,back pressure,filter,,,,
clogging of the pores by soot,clogging,pore,soot,,,
high porosity cordierite composition,high porosity,cordierite composition,,,,
ceramic articles,ceramic article,,,,,
ceramic filter applications,ceramic filter,filter application,,,,
porous ceramic body,porous ceramic body,,,,,
ceramic honeycomb body,ceramic honeycomb body,,,,,
method of making a porous ceramic article,method,porous ceramic article,,,,
diesel engine manufacturers,diesel engine,engine manufacturer,,,,
emission-control companies,emission-control company,,,,,
defects in a honeycomb body,defect,honeycomb body,,,,
"manufacturing defects such as holes, cracks, or fissures",manufacturing defect,hole,crack,fissure,,
filtration efficiency or integrity of a honeycomb filter,filtration efficiency,integrity,honeycomb filter,,,
method and apparatus for detecting defects in a honeycomb particulate filter,method,apparatus,defect,honeycomb particulate filter,,
system for detecting defects in a honeycomb body,system,defect,honeycomb body,,,
particulate fluid source,particulate fluid source,,,,,
flow straightener,flow straightener,,,,,
honeycomb filters,honeycomb filter,,,,,
diesel particulate filtration,diesel particulate filtration,,,,,
diesel emissions,diesel emission,,,,,
possibly harmful effects,harmful effect,,,,,
stricter environmental regulations,environmental regulation,,,,,
lowering diesel emissions,diesel emission,,,,,
diesel particulate material,diesel particulate material,,,,,
carbon soot,carbon soot,,,,,
gradual rise in the back pressure,back pressure,,,,,
compromise the survivability of the filter,survivability,filter,,,,
ceramic honeycomb articles,ceramic honeycomb article,,,,,
cordierite ceramic filters,cordierite ceramic filter,,,,,
diesel particulate filter,diesel particulate filter,,,,,
methods for manufacturing,method,manufacturing,,,,
diesel engine manufacturers,diesel engine,engine manufacturer,,,,
emission-control companies,emission-control company,,,,,
consumer,consumer,,,,,
persistent problem in the art of petroleum refining,persistent problem,art of petroleum refining,petroleum refining,,,
to reach acceptably low levels of sulfur content,sulfur content,,,,,
removal of sulfur is critical,removal of sulfur,,,,,
government agencies are currently formulating new regulations,government agency,new regulation,,,,
sulfur content in fuels to be substantially lower than current practice,sulfur content,fuel,current practice,,,
known hydrodesulfurization methods do not provide acceptable levels of sulfur removal,hydrodesulfurization method,acceptable level,sulfur removal,,,
countercurrent processes typically experience difficulty in reactor flooding,countercurrent process,reactor flooding,,,,
temperature is detrimental to hydrodesulfurization and other catalysts,temperature,hydrodesulfurization,other catalyst,,,
process for hydroprocessing a hydrocarbon feedstock,process,hydroprocessing,hydrocarbon feedstock,,,
process whereby sulfur content is advantageously reduced to less than or equal to about 10 wppm,sulfur content,process,10 wppm,,,
process which can be carried out without substantially increasing the equipment size,equipment size,,,,,
hydrodesulfurization system which accomplishes the aforesaid objectives,hydrodesulfurization system,aforesaid objective,,,,
simple processing scheme that improves sulfur removal,processing scheme,sulfur removal,,,,
government agencies,government agency,,,,,
hydrocarbon feedstocks,hydrocarbon feedstock,,,,,
diesel,diesel,,,,,
gasoil,gasoil,,,,,
naphtha,naphtha,,,,,
nox emissions from vehicles with internal combustion engines,nox emission,vehicle,internal combustion engine,,,
environmental problem,environmental problem,,,,,
regulations pending that will limit nox emissions,regulation,nox emission,,,,
nox production,nox production,,,,,
engine efficiency decrease,engine efficiency,efficiency decrease,,,,
smoke in the exhaust,smoke,exhaust,,,,
trade-off between nox production and particulate matter production,trade-off,nox production,particulate matter production,,,
not proven commercially,empty list,,,,,
peak nox conversion efficiency with lean-burn catalysts is unacceptably low,peak nox conversion efficiency,lean-burn catalyst,,,,
lack of infrastructure for distributing ammonia,lack of infrastructure,infrastructure,distributing ammonia,ammonia,,
possible release of ammonia into the environment,release of ammonia,ammonia,environment,,,
"long felt need for environmentally friendly, efficient, and reliable power generation systems for vehicles",long felt need,environmentally friendly power generation,efficient power generation,reliable power generation,power generation system,vehicle
clean power generation system,clean power generation system,,,,,
fuel cell,fuel cell,,,,,
exhaust gas recirculation (egr),exhaust gas recirculation,egr,,,,
lean-burn nox catalysts,lean-burn nox catalyst,,,,,
nox adsorber-catalysts,nox adsorber-catalyst,,,,,
selective catalytic reduction (scr),selective catalytic reduction,scr,,,,
fuel reformers,fuel reformer,,,,,
hybrid power generation system,hybrid power generation system,,,,,
power generation system in which an internal combustion engine is operated to produce shaft power and an exhaust stream,power generation system,internal combustion engine,shaft power,exhaust stream,,
vehicles,vehicle,,,,,
nox emissions from vehicles with internal combustion engines,nox emission,vehicle,internal combustion engine,,,
environmental problem,environmental problem,,,,,
regulations pending that will limit nox emissions,regulation,nox emission,,,,
exhaust is too oxygen-rich for three-way catalysts to be effective,exhaust,oxygen-rich,three-way catalyst,,,
reduction of nox in an oxidizing atmosphere is difficult,reduction,nox,oxidizing atmosphere,,,
"challenging to find a lean-burn nox catalyst that has the required activity, durability, and operating temperature range",lean-burn nox catalyst,required activity,operating temperature range,,,
lean-burn nox catalysts tend to be hydrothermally unstable,lean-burn nox catalyst,nox catalyst,hydrothermal instability,,,
noticeable loss of activity occurs after relatively little use,noticeable loss,loss of activity,relatively little use,,,
fuel economy penalty of 3% or more,fuel economy penalty,,,,,
peak nox conversion efficiency with lean-burn catalysts is unacceptably low,peak nox conversion efficiency,lean-burn catalyst,,,,
concern over the lack of infrastructure for distributing ammonia or a suitable precursor,lack of infrastructure,infrastructure for distributing ammonia,suitable precursor,,,
concerns relating to the possible release of ammonia into the environment,concern,possible release,ammonia,environment,,
exhaust treatment system having an scr reactor downstream of a nox adsorber,exhaust treatment system,scr reactor,nox adsorber,,,
syn gas from a fuel reformer is used to regenerate the nox adsorber,syn gas,fuel reformer,nox adsorber,,,
exhaust treatment system having an scr reactor downstream of an lnt and an ammonia source separate from the lnt,exhaust treatment system,scr reactor,lnt,ammonia source,,
exhaust system comprising first and second lnts and one or more scrs downstream of the lnts,exhaust system,first lnt,second lnt,one or more scr,scr downstream,lnt
device comprising first and second nox adsorbers contained in a single housing,device,first nox adsorber,second nox adsorber,single housing,,
coating a moving part in an exhaust system with an oxidation catalyst to mitigate fouling,moving part,exhaust system,oxidation catalyst,oxidation catalyst fouling,,
internal combustion engines,internal combustion engine,,,,,
diesel engines,diesel engine,,,,,
lean burn gasoline engines,lean burn,gasoline engine,,,,
manufacturers,manufacturer,,,,,
researchers,researcher,,,,,
countries,country,,,,,
united states,united states,,,,,
nox emissions,nox emission,,,,,
increased combustion temperatures,combustion temperature,,,,,
require additional hardware and control schemes,additional hardware,control scheme,,,,
effectiveness of this method decreases significantly at an exhaust temperature below 400Â° c,effectiveness,this method,exhaust temperature,temperature below 400Â° c,,
"infrastructure-related problems associated with storage, transport, and handling of ammonia",infrastructure-related problem,storage,transport,handling,ammonia,
un-reacted ammonia may pass through the scr and be exhausted into the atmosphere,un-reacted ammonia,scr,atmosphere,,,
requires replenishing urea on-board the vehicle,urea,urea on-board,vehicle,,,
freezing point of the urea solution is ??2Â° c,freezing point,urea solution,,,,
require a large catalyst volume and a substantial mass of expensive platinum-group metals,large catalyst volume,substantial mass,expensive platinum-group metal,,,
periodic intrusive operation of the engine to regenerate the catalyst,periodic intrusive operation,engine,catalyst,,,
hydrocarbons present in diesel and gasoline engine exhaust require high temperatures for adequate nox conversion,hydrocarbon,diesel engine exhaust,gasoline engine exhaust,high temperature,nox conversion,
"diesel fuel as well as long, straight-chain hydrocarbons are only adequate above a catalyst temperature of about 300Â° c",diesel fuel,long straight-chain hydrocarbon,catalyst temperature,300° c,,
these species are not readily available in engine exhaust streams,species,engine exhaust stream,,,,
supplemental heating of the exhaust may not be suitable for practical engine exhaust systems on a vehicle,supplemental heating,exhaust,practical engine exhaust system,vehicle,,
any aldehydes produced in engine in-cylinder burning are oxidized in the oxidation catalyst,aldehyde,engine in-cylinder burning,oxidation catalyst,,,
method and apparatus for exhaust gas purifying,method,apparatus,exhaust gas,exhaust gas purifying,,
hydrocarbon-selective catalytic reduction device,hydrocarbon-selective catalytic reduction device,,,,,
injector device adapted to inject a blend of fuel and an ignition improver,injector device,blend of fuel,ignition improver,,,
control module adapted to control the injector device,control module,injector device,,,,
internal combustion engines,internal combustion engine,,,,,
clogging of the filter,clogging,filter,,,,
increase in the back pressure at the exhaust,back pressure,exhaust,,,,
increasing fuel consumption of the engine,fuel consumption,engine,,,,
total filter clogging,total filter clogging,,,,,
serious engine dysfunctioning,engine dysfunctioning,,,,,
complete engine failure,engine failure,,,,,
destruction of the filter,destruction,filter,,,,
major drawback of increasing the fuel consumption,major drawback,fuel consumption,,,,
costly additives,costly additive,,,,,
significantly increases the fuel consumption of the engine,fuel consumption,engine,,,,
method for regenerating a particle filter,method,particle filter,,,,
catalytic combustion,catalytic combustion,,,,,
raising the temperature of the fluid,temperature,fluid,temperature of the fluid,,,
heating said fluid by means of a heating resistor,heating resistor,said fluid,,,,
circulating exhaust gases around a catalytic element,circulating exhaust gas,catalytic element,,,,
adding an additive to the fuel,additive,fuel,,,,
internal-combustion engine,internal-combustion engine,,,,,
gaseous contaminants,gaseous contaminant,,,,,
limitations found in the prior art,limitation,prior art,,,,
time-consuming and expensive limitation,time-consuming limitation,expensive limitation,,,,
gas bypass and breakthrough,gas bypass,breakthrough,,,,
lower activity levels of impregnated media,activity level,impregnated media,,,,
onsite chemistry air filtration system,onsite chemistry,air filtration system,,,,
conventional particulate filtration section,conventional particulate filtration section,,,,,
photochemical filtration section,photochemical filtration section,,,,,
static gas phase filtration section,static gas phase filtration,gas phase filtration,filtration section,,,
catalytic filtration section,catalytic filtration section,,,,,
dynamic onsite chemistry generation,dynamic onsite chemistry generation,,,,,
residential buildings,residential building,,,,,
low rise buildings,low rise building,,,,,
commercial offices,commercial office,,,,,
places of business,place of business,,,,,
high rise buildings,high rise building,,,,,
casinos,casino,,,,,
ships,ship,,,,,
military,military,,,,,
secure buildings,secure building,,,,,
airports,airport,,,,,
mass transit vehicles,mass transit vehicle,,,,,
automobiles,automobile,,,,,
mining equipment,mining equipment,,,,,
"pollution from new, heavy-duty diesel trucks and buses",pollution,heavy-duty diesel truck,heavy-duty diesel bus,,,
tougher emission standards,emission standard,,,,,
unburned soot particles,unburned soot particle,,,,,
harmful pollutants,harmful pollutant,,,,,
minimum operating temperature value,minimum operating temperature value,,,,,
