Topic,Count,Name,Representation,Representative_Docs
-1,436,-1_person_injury_patient_low,"['person', 'injury', 'patient', 'low', 'difficult', 'conditions', 'cell', 'time', 'user', 'lack']","['conditions which make it difficult or impossible for them to rise from the floor or ground on their own', 'elderly person or a person with reduced mobility and do not have sufficient muscles to rise to their feet by their own', 'low success rate of pregnancy by blastocyst transfer']"
0,82,0_home_care_nursing_caregiver,"['home', 'care', 'nursing', 'caregiver', 'caregivers', 'needs', 'nursing homes', 'homes', 'living', 'staff']","['assisting necessity by a caregiver', 'more than a million new caregivers are required', 'devastating toll on caregivers']"
1,55,1_medication_medications_prescribed_compliance,"['medication', 'medications', 'prescribed', 'compliance', 'hospital admissions', 'admissions', 'hospital', 'prescriptions', '30', 'taken']","['difficulty adhering to prescribed therapies', '90% of healthcare recipients make medication errors', 'confusion about what, where and when the set of pills to be administrated']"
2,52,2_fall_falls_falling_risk falling,"['fall', 'falls', 'falling', 'risk falling', 'fall falls', 'risk', 'injuries', 'real', 'resulting', 'detection']","['over 50% of falls among seniors were never reported to a health professional', 'one fifth of falling elders are admitted to hospital after staying on the floor for over one hour following a fall', 'falls are the leading cause of accidental death for seniors']"
3,50,3_information_devices_relevant_current,"['information', 'devices', 'relevant', 'current', 'limited', 'systems', 'complexity', 'lack', 'technologies', 'drawbacks']","['prior art devices and systems being too expensive and complex', 'middlemen taking advantage of farmers lack of access to information', 'current solutions to these problems are not sufficient']"
4,49,4_population_elderly_seniors_aging,"['population', 'elderly', 'seniors', 'aging', 'age', 'older', 'growing', 'senior', 'adults', 'people']","['elderly or people with disabilities', 'smartphone usage is less than 10% among seniors 75 years and older', 'growing senior population wants to age in place']"
5,42,5_monitoring_supervision_vital_activities,"['monitoring', 'supervision', 'vital', 'activities', 'monitor', 'constant', 'need', 'monitoring systems', 'systems', 'elderly']","['the transmission of the sensed vital parameters to the external storage devices has to be initiated by the elderly patient', 'need for improved systems and methods for monitoring the activities and wellbeing of elderly individuals', 'failure of the elderly person to carry or wear the monitoring device']"
6,36,6_assistance_help_individual_assist,"['assistance', 'help', 'individual', 'assist', 'assisting', 'needed', 'input', 'occupants', 'unable', 'hour']","['difficulty for staff and professionals to adhere to necessary schedules', 'individual must recognize that he/she is in a situation in which help is likely to be needed', 'wait for several hours until they get assistance']"
7,34,7_embryo_embryos_implantation_embryo development,"['embryo', 'embryos', 'implantation', 'embryo development', 'development', 'quality', 'eggs', 'evaluations', 'variable', 'morphological']","['major challenges has been to identify the embryos that are most suitable for transfer', 'significant challenge in non-invasive selection of the top-quality embryo', 'implantation failure']"
8,33,8_emergency_emergency response_response_medical emergency,"['emergency', 'emergency response', 'response', 'medical emergency', 'emergency situation', 'personal emergency', 'situation', 'medical', 'personal', 'response services']","['cost of emergency response services', 'emergency situation', 'natural disasters']"
9,30,9_ovarian_stimulation_uterine_endometrial,"['ovarian', 'stimulation', 'uterine', 'endometrial', 'ovulation', 'fsh', 'lh', 'hormone', 'endometrium', 'premature']","['premature luteinization', 'ovulation disorder', 'thin endometrium']"
10,30,10_neurological_cognitive_memory_hearing,"['neurological', 'cognitive', 'memory', 'hearing', 'diminished', 'loss', 'palsy', 'cerebral', 'cerebral palsy', 'diminished ability']","['generalized weakness due to age or neurological deficits', 'reduction in memory and cognitive function', 'symptoms of neurological and neuropsychiatric conditions']"
11,29,11_pregnancies_multiple_multiple pregnancies_mother,"['pregnancies', 'multiple', 'multiple pregnancies', 'mother', 'pregnancy', 'preterm', 'birth', 'outcomes mother', 'rates multiple', 'early pregnancy']","['pre-term birth', 'increased possibility of miscarriage', 'high rates of multiple gestations']"
12,25,12_infertility_unexplained_reproductive_fertility,"['infertility', 'unexplained', 'reproductive', 'fertility', 'infertility reproductive', 'unexplained infertility', 'sperm', 'normal fertilization', 'maternal age', 'motility']","['reduced fertility', 'unexplained infertility', 'difficulties in conceiving']"
13,24,13_abuse_bullying_crime_physical,"['abuse', 'bullying', 'crime', 'physical', 'robbery elopement', 'stalking robbery', 'schoolyard tormenting', 'threats exploitation', 'stalking', 'vulgarity']","['assault', 'social and physical threats', 'exploitation and/or abuse']"
14,22,14_traffic_speed_road_slower,"['traffic', 'speed', 'road', 'slower', 'driving', 'slower moving', 'pedestrian', 'regulation systems', 'congestion', 'red']","['engineering defects in designing and executing the road', 'lack of safe driving restraints', 'lack of traffic laws and regulations']"
15,22,15_costs_financial_financial burden_insurance,"['costs', 'financial', 'financial burden', 'insurance', 'cost', 'labor', 'burden', 'costly', 'society significant', 'substantial emotional']","['substantial emotional and financial costs', '$100 billion per year', 'financial constraints']"
16,21,16_independence_elderly_people live_isolation,"['independence', 'elderly', 'people live', 'isolation', 'loneliness', 'live', 'continue', 'independent', 'living', 'persons']","['anxiety that these elderly and disabled persons are safe and secure in their own residences', 'social isolation', 'being alone might be a problem when faced with an emergency']"
17,20,17_factors_chronic_chronic diseases_chronic condition,"['factors', 'chronic', 'chronic diseases', 'chronic condition', 'degradation', 'weather', 'environmental', 'diseases', 'decline', 'status']","['immunological factors', 'disease progression', 'advance of chronic diseases']"
18,19,18_user_users_limit_step,"['user', 'users', 'limit', 'step', 'weak lack', 'needs expected', 'unscrupulous', 'unscrupulous people', 'safe easy', 'places transportation']","['user is relatively weak', 'lack of user safety', 'user discomfort']"
19,19,19_activity_activities_physical activity_daily,"['activity', 'activities', 'physical activity', 'daily', 'daily living', 'sleep', 'activities daily', 'participation', 'active', 'patterns']","['failure to realize that activities are currently unavailable', 'monitoring and evaluating physical activity patterns', 'sleep/wake patterns']"
